"","s","S","F","R","RT"
"1","1","s2","load0","r2",0.789
"2","1","s1","load0","r1",0.881
"3","1","s2","load0","r2",0.649
"4","1","s1","load0","r1",0.65
"5","1","s1","load0","r1",0.757
"6","1","s1","load0","r1",0.565
"7","1","s2","load0","r2",0.596
"8","1","s2","load0","r2",0.674
"9","1","s2","load0","r2",1.001
"10","1","s2","load0","r2",0.658
"11","1","s1","load0","r1",0.66
"12","1","s2","load0","r1",1.533
"13","1","s2","load0","r1",0.914
"14","1","s1","load0","r1",0.892
"15","1","s2","load1","r2",1.215
"16","1","s2","load1","r2",1.184
"17","1","s2","load1","r2",0.792
"18","1","s1","load1","r1",0.849
"19","1","s1","load1","r2",0.786
"20","1","s1","load1","r2",0.749
"21","1","s2","load1","r1",0.521
"22","1","s1","load1","r1",1.38
"23","1","s1","load1","r1",0.726
"24","1","s1","load1","r1",0.773
"25","1","s2","load1","r1",0.719
"26","1","s2","load1","r2",0.932
"27","1","s1","load1","r1",0.567
"28","1","s1","load1","r1",1.56
"29","1","s1","load1","r1",0.551
"30","1","s2","load1","r2",0.544
"31","1","s2","load1","r2",0.769
"32","1","s2","load1","r2",0.722
"33","1","s2","load1","r2",0.98
"34","1","s1","load1","r1",0.626
"35","1","s1","load1","r1",0.719
"36","1","s1","load1","r1",0.653
"37","1","s2","load1","r1",0.666
"38","1","s2","load1","r1",0.625
"39","1","s1","load1","r1",0.976
"40","1","s1","load1","r1",0.556
"41","1","s1","load0","r2",0.772
"42","1","s1","load0","r1",0.867
"43","1","s2","load0","r2",1.763
"44","1","s2","load0","r2",0.864
"45","1","s2","load0","r2",0.795
"46","1","s2","load0","r2",1.018
"47","1","s2","load0","r1",0.779
"48","1","s2","load0","r1",0.874
"49","1","s1","load0","r1",0.659
"50","1","s2","load0","r1",0.701
"51","1","s2","load0","r2",0.762
"52","1","s2","load0","r1",0.854
"53","1","s2","load0","r2",0.82
"54","1","s1","load0","r1",0.665
"55","1","s1","load0","r1",0.645
"56","1","s1","load0","r2",2.053
"57","1","s1","load0","r1",1.625
"58","1","s1","load0","r2",0.978
"59","1","s2","load0","r2",0.962
"60","1","s2","load0","r2",0.811
"61","1","s1","load0","r1",0.718
"62","1","s2","load0","r2",0.709
"63","1","s2","load0","r1",0.484
"64","1","s1","load0","r1",0.692
"65","1","s1","load0","r2",0.63
"66","1","s1","load0","r1",0.741
"67","1","s2","load0","r1",0.673
"68","1","s2","load1","r1",1.213
"69","1","s1","load1","r2",1.139
"70","1","s1","load1","r2",0.754
"71","1","s2","load1","r2",0.525
"72","1","s2","load1","r1",0.771
"73","1","s2","load1","r2",0.763
"74","1","s2","load1","r2",0.712
"75","1","s2","load1","r1",0.522
"76","1","s1","load1","r1",0.822
"77","1","s2","load1","r2",0.992
"78","1","s1","load1","r1",0.668
"79","1","s1","load1","r1",0.596
"80","1","s2","load1","r2",0.434
"81","1","s1","load1","r2",0.663
"82","1","s2","load1","r2",0.545
"83","1","s1","load1","r1",0.532
"84","1","s2","load1","r1",1.124
"85","1","s1","load1","r1",0.591
"86","1","s1","load1","r1",0.791
"87","1","s2","load1","r2",0.684
"88","1","s2","load1","r2",0.909
"89","1","s2","load1","r2",0.604
"90","1","s2","load1","r1",0.759
"91","1","s2","load1","r2",0.599
"92","1","s1","load1","r1",1.577
"93","1","s1","load1","r1",0.554
"94","1","s2","load1","r2",1.018
"95","1","s2","load1","r2",0.717
"96","1","s1","load0","r2",0.824
"97","1","s2","load0","r2",0.693
"98","1","s2","load0","r2",0.586
"99","1","s2","load0","r2",0.886
"100","1","s1","load0","r2",2.08
"101","1","s1","load0","r1",0.598
"102","1","s1","load0","r1",0.734
"103","1","s1","load0","r1",0.601
"104","1","s2","load0","r1",0.595
"105","1","s1","load0","r1",0.639
"106","1","s1","load0","r1",0.53
"107","1","s2","load0","r2",1.639
"108","1","s1","load0","r1",0.583
"109","1","s1","load0","r1",0.653
"110","1","s2","load0","r2",0.691
"111","1","s1","load0","r1",0.511
"112","1","s1","load0","r2",0.623
"113","1","s1","load0","r1",0.315
"114","1","s1","load0","r1",0.599
"115","1","s1","load0","r1",0.462
"116","1","s2","load0","r1",0.311
"117","1","s2","load0","r1",0.332
"118","1","s2","load0","r1",0.601
"119","1","s2","load0","r2",0.787
"120","1","s1","load0","r1",0.663
"121","1","s2","load0","r1",0.761
"122","1","s1","load1","r1",1.195
"123","1","s2","load1","r2",1.182
"124","1","s1","load1","r2",1.054
"125","1","s2","load1","r2",0.871
"126","1","s1","load1","r2",0.571
"127","1","s1","load1","r2",0.862
"128","1","s1","load1","r2",0.716
"129","1","s2","load1","r1",0.523
"130","1","s2","load1","r2",1.448
"131","1","s2","load1","r1",0.828
"132","1","s1","load1","r1",0.632
"133","1","s2","load1","r1",0.759
"134","1","s1","load1","r1",1.196
"135","1","s2","load1","r1",0.523
"136","1","s2","load1","r2",0.896
"137","1","s2","load1","r1",0.773
"138","1","s2","load1","r2",0.769
"139","1","s2","load1","r2",0.648
"140","1","s2","load1","r2",0.721
"141","1","s1","load1","r2",0.439
"142","1","s2","load1","r2",0.942
"143","1","s2","load1","r2",1.013
"144","1","s2","load1","r2",0.627
"145","1","s1","load1","r1",0.489
"146","1","s2","load1","r1",0.91
"147","1","s1","load1","r1",0.552
"148","1","s1","load1","r1",0.434
"149","1","s1","load0","r1",0.773
"150","1","s1","load0","r2",0.957
"151","1","s2","load0","r2",1.349
"152","1","s1","load0","r1",0.58
"153","1","s1","load0","r1",0.601
"154","1","s2","load0","r1",0.855
"155","1","s1","load0","r1",0.733
"156","1","s2","load0","r2",0.622
"157","1","s1","load0","r2",1.014
"158","1","s2","load0","r2",1.062
"159","1","s1","load0","r1",2.038
"160","1","s2","load0","r2",1.151
"161","1","s1","load0","r1",0.804
"162","1","s1","load0","r2",0.284
"163","1","s2","load0","r1",0.622
"164","1","s1","load0","r1",0.761
"165","1","s1","load0","r1",0.521
"166","1","s2","load0","r2",0.505
"167","1","s1","load0","r1",0.551
"168","1","s1","load0","r1",0.579
"169","1","s2","load0","r2",0.753
"170","1","s1","load0","r2",0.704
"171","1","s1","load0","r1",0.943
"172","1","s2","load0","r1",0.991
"173","1","s1","load0","r1",0.602
"174","1","s2","load0","r2",1.053
"175","1","s1","load1","r1",0.908
"176","1","s2","load1","r2",0.608
"177","1","s1","load1","r2",0.971
"178","1","s2","load1","r2",1.5
"179","1","s1","load1","r2",1.745
"180","1","s1","load1","r1",0.736
"181","1","s2","load1","r2",0.557
"182","1","s1","load1","r2",0.665
"183","1","s1","load1","r1",0.757
"184","1","s1","load1","r1",1.294
"185","1","s1","load1","r2",0.85
"186","1","s2","load1","r2",0.756
"187","1","s1","load1","r1",0.595
"188","1","s1","load1","r1",0.846
"189","1","s1","load1","r1",0.843
"190","1","s2","load1","r2",0.719
"191","1","s1","load1","r2",0.499
"192","1","s1","load1","r1",0.574
"193","1","s1","load1","r1",0.493
"194","1","s1","load1","r2",0.813
"195","1","s1","load1","r2",0.683
"196","1","s2","load1","r1",0.805
"197","1","s2","load1","r2",0.789
"198","1","s2","load1","r1",0.627
"199","1","s2","load1","r1",0.57
"200","1","s1","load1","r1",0.507
"201","1","s2","load1","r1",0.603
"202","1","s2","load0","r2",0.933
"203","1","s2","load0","r1",0.657
"204","1","s2","load0","r1",0.643
"205","1","s2","load0","r2",0.589
"206","1","s1","load0","r1",0.64
"207","1","s1","load0","r1",0.618
"208","1","s1","load0","r1",0.629
"209","1","s2","load0","r2",0.692
"210","1","s1","load0","r1",0.719
"211","1","s2","load0","r1",1.097
"212","1","s1","load0","r1",0.779
"213","1","s2","load0","r2",0.667
"214","1","s1","load0","r2",0.702
"215","1","s1","load0","r2",0.673
"216","1","s1","load0","r1",0.627
"217","1","s2","load0","r1",1.015
"218","1","s2","load0","r2",1.262
"219","1","s2","load0","r1",0.935
"220","1","s2","load0","r2",1.382
"221","1","s1","load0","r1",0.921
"222","1","s1","load0","r2",1.646
"223","1","s1","load0","r1",0.911
"224","1","s2","load0","r1",0.537
"225","1","s2","load0","r1",0.802
"226","1","s1","load0","r1",0.849
"227","1","s1","load0","r1",0.637
"228","1","s2","load1","r1",1.083
"229","1","s1","load1","r1",0.772
"230","1","s1","load1","r1",0.798
"231","1","s1","load1","r1",0.852
"232","1","s1","load1","r1",1.073
"233","1","s2","load1","r2",0.685
"234","1","s2","load1","r1",0.964
"235","1","s1","load1","r1",2.228
"236","1","s2","load1","r2",1.035
"237","1","s1","load1","r1",0.78
"238","1","s2","load1","r2",0.899
"239","1","s1","load1","r1",1.198
"240","1","s2","load1","r1",0.77
"241","1","s1","load0","r1",0.481
"242","1","s2","load0","r1",0.674
"243","1","s1","load0","r1",0.586
"244","1","s1","load0","r1",0.587
"245","1","s2","load0","r1",0.667
"246","1","s2","load0","r2",0.699
"247","1","s2","load0","r2",0.813
"248","1","s1","load0","r1",0.77
"249","1","s1","load0","r1",0.839
"250","1","s1","load0","r1",0.805
"251","1","s2","load0","r2",0.684
"252","1","s1","load0","r2",0.448
"253","1","s2","load0","r1",1.052
"254","1","s2","load0","r1",0.939
"255","1","s2","load0","r1",1.173
"256","1","s1","load0","r1",0.799
"257","1","s1","load0","r2",0.64
"258","1","s1","load0","r1",0.736
"259","1","s2","load0","r2",0.515
"260","1","s2","load0","r2",0.61
"261","1","s1","load0","r1",0.725
"262","1","s2","load0","r1",0.844
"263","1","s2","load0","r2",0.832
"264","1","s2","load0","r1",0.629
"265","1","s2","load0","r2",0.758
"266","1","s2","load1","r2",0.83
"267","1","s1","load1","r1",0.763
"268","1","s1","load1","r1",0.897
"269","1","s2","load1","r2",2.082
"270","1","s1","load1","r1",0.907
"271","1","s1","load1","r1",0.842
"272","1","s2","load1","r2",0.643
"273","1","s1","load1","r1",0.785
"274","1","s1","load1","r1",0.954
"275","1","s1","load1","r1",0.629
"276","1","s2","load1","r1",1.279
"277","1","s2","load1","r1",0.527
"278","1","s2","load1","r1",0.578
"279","1","s1","load0","r1",1.024
"280","1","s2","load0","r2",0.788
"281","1","s2","load0","r2",0.68
"282","1","s1","load0","r2",1.456
"283","1","s2","load0","r2",0.593
"284","1","s1","load0","r1",1.313
"285","1","s1","load0","r2",0.981
"286","1","s1","load0","r1",0.901
"287","1","s2","load0","r2",0.747
"288","1","s1","load0","r1",0.648
"289","1","s2","load0","r1",0.764
"290","1","s1","load0","r1",0.546
"291","1","s1","load0","r1",1.194
"292","1","s1","load0","r2",0.583
"293","1","s1","load0","r1",0.815
"294","1","s2","load0","r2",0.933
"295","1","s1","load0","r1",0.822
"296","1","s2","load0","r1",0.894
"297","1","s1","load0","r1",0.732
"298","1","s1","load0","r1",0.6
"299","1","s1","load0","r1",0.989
"300","1","s2","load0","r2",0.6
"301","1","s1","load0","r1",0.812
"302","1","s1","load0","r1",0.686
"303","1","s2","load0","r1",0.69
"304","1","s2","load0","r2",0.86
"305","1","s1","load0","r2",0.755
"306","1","s1","load0","r2",0.246
"307","1","s1","load0","r2",0.373
"308","1","s2","load0","r2",0.382
"309","1","s1","load0","r2",0.642
"310","1","s1","load0","r2",0.433
"311","1","s1","load0","r2",0.376
"312","1","s1","load0","r2",0.294
"313","1","s2","load0","r2",0.33
"314","1","s2","load0","r2",0.342
"315","1","s1","load0","r2",0.309
"316","1","s2","load0","r2",0.227
"317","1","s1","load0","r2",1.012
"318","1","s1","load0","r1",0.709
"319","1","s1","load0","r1",0.52
"320","1","s2","load0","r2",1.29
"321","1","s1","load0","r1",1.13
"322","1","s2","load0","r1",0.698
"323","1","s1","load0","r1",0.739
"324","1","s1","load0","r1",0.511
"325","1","s2","load0","r1",0.535
"326","1","s1","load0","r1",0.579
"327","1","s2","load0","r2",0.806
"328","1","s1","load0","r1",0.619
"329","1","s1","load0","r2",0.963
"330","1","s2","load1","r2",0.755
"331","1","s1","load1","r2",0.891
"332","1","s2","load1","r1",1.073
"333","1","s1","load1","r1",0.881
"334","1","s1","load1","r2",0.696
"335","1","s2","load1","r2",0.787
"336","1","s1","load1","r1",0.769
"337","1","s2","load1","r1",0.685
"338","1","s2","load1","r1",1.177
"339","1","s2","load1","r1",0.632
"340","1","s1","load1","r1",0.621
"341","1","s2","load1","r1",0.831
"342","1","s1","load1","r1",0.634
"343","1","s1","load1","r1",1.12
"344","1","s1","load1","r1",1.226
"345","1","s2","load1","r1",1.297
"346","1","s2","load1","r2",0.806
"347","1","s2","load1","r2",1.086
"348","1","s2","load1","r1",0.855
"349","1","s1","load1","r1",0.703
"350","1","s1","load1","r2",0.631
"351","1","s1","load1","r2",1.86
"352","1","s2","load1","r1",1.048
"353","1","s2","load1","r1",1.639
"354","1","s1","load1","r1",0.978
"355","1","s1","load1","r1",1.063
"356","1","s2","load0","r1",1.133
"357","1","s1","load0","r2",1.045
"358","1","s2","load0","r2",0.679
"359","1","s2","load0","r2",1.166
"360","1","s1","load0","r1",0.861
"361","1","s2","load0","r2",0.91
"362","1","s1","load0","r1",1.314
"363","1","s2","load0","r2",0.956
"364","1","s2","load0","r1",0.734
"365","1","s1","load0","r1",0.906
"366","1","s2","load0","r1",1.299
"367","1","s2","load0","r1",0.858
"368","1","s1","load0","r1",0.764
"369","1","s2","load0","r2",0.792
"370","1","s2","load0","r1",1.067
"371","1","s2","load0","r2",1.32
"372","1","s1","load0","r1",0.773
"373","1","s1","load0","r1",0.558
"374","1","s1","load0","r2",0.672
"375","1","s2","load0","r2",0.633
"376","1","s2","load0","r2",0.667
"377","1","s1","load0","r1",0.838
"378","1","s1","load0","r1",0.825
"379","1","s2","load0","r2",0.791
"380","1","s2","load0","r2",1.107
"381","1","s1","load1","r1",0.968
"382","1","s2","load1","r1",1.191
"383","1","s1","load1","r2",0.695
"384","1","s1","load1","r1",1.002
"385","1","s2","load1","r2",1.412
"386","1","s1","load1","r1",0.947
"387","1","s1","load1","r1",0.781
"388","1","s1","load1","r1",1.46
"389","1","s2","load1","r2",0.771
"390","1","s2","load1","r2",1.009
"391","1","s1","load1","r1",1.074
"392","1","s2","load1","r1",0.887
"393","1","s2","load1","r1",1.5
"394","1","s2","load1","r2",0.896
"395","1","s1","load1","r1",0.66
"396","1","s1","load1","r1",0.661
"397","1","s2","load1","r2",0.925
"398","1","s1","load1","r2",0.672
"399","1","s2","load1","r2",0.708
"400","1","s1","load1","r1",1.119
"401","1","s2","load1","r2",1.214
"402","1","s1","load1","r1",0.909
"403","1","s2","load1","r2",1.134
"404","1","s1","load1","r1",0.966
"405","1","s1","load1","r1",0.719
"406","1","s1","load1","r1",0.997
"407","1","s1","load0","r1",0.952
"408","1","s2","load0","r2",0.624
"409","1","s2","load0","r1",0.752
"410","1","s2","load0","r2",1.052
"411","1","s2","load0","r2",1.013
"412","1","s1","load0","r2",1.133
"413","1","s1","load0","r2",0.765
"414","1","s1","load0","r2",0.753
"415","1","s2","load0","r2",0.698
"416","1","s1","load0","r1",1.054
"417","1","s1","load0","r2",0.775
"418","1","s2","load0","r2",1.296
"419","1","s1","load0","r1",0.665
"420","1","s2","load0","r1",0.828
"421","2","s2","load0","r1",0.714
"422","2","s1","load0","r1",1.323
"423","2","s1","load0","r1",0.762
"424","2","s1","load0","r1",0.74
"425","2","s1","load0","r1",0.754
"426","2","s2","load0","r2",0.926
"427","2","s1","load0","r1",0.761
"428","2","s2","load0","r1",0.92
"429","2","s1","load0","r2",1.37
"430","2","s2","load0","r2",0.73
"431","2","s2","load0","r2",0.988
"432","2","s2","load0","r2",0.69
"433","2","s2","load0","r2",0.65
"434","2","s1","load0","r1",0.682
"435","2","s1","load0","r1",0.703
"436","2","s2","load1","r2",1.051
"437","2","s2","load1","r2",0.93
"438","2","s2","load1","r2",0.788
"439","2","s1","load1","r2",0.746
"440","2","s2","load1","r2",0.687
"441","2","s1","load1","r1",1.039
"442","2","s1","load1","r2",1.416
"443","2","s1","load1","r1",1.119
"444","2","s2","load1","r2",1.191
"445","2","s2","load1","r2",1.115
"446","2","s1","load1","r1",0.935
"447","2","s1","load1","r1",1.172
"448","2","s1","load1","r2",1.165
"449","2","s1","load1","r1",0.962
"450","2","s1","load1","r1",1.348
"451","2","s1","load1","r2",1.197
"452","2","s1","load1","r2",1.546
"453","2","s2","load1","r1",1.132
"454","2","s1","load1","r1",0.954
"455","2","s2","load1","r2",0.93
"456","2","s1","load1","r1",1.318
"457","2","s1","load1","r2",1.769
"458","2","s2","load1","r2",1.552
"459","2","s1","load1","r2",0.904
"460","2","s2","load1","r2",1.862
"461","2","s2","load1","r2",0.89
"462","2","s2","load1","r2",0.887
"463","2","s2","load1","r2",1.173
"464","2","s2","load1","r1",1.004
"465","2","s2","load1","r2",2.197
"466","2","s1","load1","r1",0.923
"467","2","s2","load1","r2",0.871
"468","2","s1","load0","r1",0.695
"469","2","s1","load0","r1",0.831
"470","2","s1","load0","r2",1.166
"471","2","s1","load0","r2",0.884
"472","2","s2","load0","r2",0.825
"473","2","s2","load0","r2",0.619
"474","2","s1","load0","r2",1.105
"475","2","s1","load0","r1",1.098
"476","2","s1","load0","r1",0.592
"477","2","s2","load0","r2",0.772
"478","2","s1","load0","r2",1.143
"479","2","s2","load0","r2",0.757
"480","2","s2","load0","r2",0.806
"481","2","s1","load0","r1",1.172
"482","2","s2","load0","r2",0.697
"483","2","s2","load0","r2",0.728
"484","2","s1","load0","r1",1.304
"485","2","s1","load0","r2",1.031
"486","2","s1","load0","r1",1.727
"487","2","s2","load0","r2",2.046
"488","2","s2","load0","r2",0.81
"489","2","s2","load0","r2",0.587
"490","2","s1","load0","r1",0.902
"491","2","s2","load0","r1",1.463
"492","2","s2","load0","r1",0.946
"493","2","s2","load0","r2",1.292
"494","2","s2","load1","r1",1.076
"495","2","s2","load1","r1",1.004
"496","2","s2","load1","r2",1.131
"497","2","s1","load1","r1",0.955
"498","2","s1","load1","r1",0.983
"499","2","s1","load1","r2",1.072
"500","2","s1","load1","r1",1.098
"501","2","s1","load1","r1",0.915
"502","2","s2","load1","r2",1.875
"503","2","s2","load1","r1",0.891
"504","2","s1","load1","r1",1.319
"505","2","s2","load1","r1",1.217
"506","2","s1","load1","r1",1.478
"507","2","s2","load0","r1",1.436
"508","2","s2","load0","r1",0.802
"509","2","s1","load0","r1",0.539
"510","2","s2","load0","r2",1.358
"511","2","s1","load0","r1",0.824
"512","2","s1","load0","r1",0.647
"513","2","s1","load0","r1",0.627
"514","2","s1","load0","r1",0.787
"515","2","s2","load0","r2",0.64
"516","2","s1","load0","r1",0.762
"517","2","s1","load0","r1",0.997
"518","2","s2","load0","r2",0.8
"519","2","s2","load0","r1",0.946
"520","2","s2","load0","r1",1.04
"521","2","s1","load1","r1",0.78
"522","2","s1","load1","r2",0.93
"523","2","s1","load1","r2",1.27
"524","2","s1","load1","r2",0.876
"525","2","s1","load1","r1",1.075
"526","2","s2","load1","r2",1.101
"527","2","s2","load1","r2",0.977
"528","2","s2","load1","r2",0.794
"529","2","s2","load1","r1",1.423
"530","2","s2","load1","r2",0.75
"531","2","s1","load1","r1",0.839
"532","2","s1","load1","r1",1.182
"533","2","s2","load1","r2",0.988
"534","2","s2","load1","r2",0.647
"535","2","s1","load1","r2",0.91
"536","2","s1","load1","r1",0.738
"537","2","s1","load1","r2",0.7
"538","2","s1","load1","r1",0.836
"539","2","s1","load1","r1",1.21
"540","2","s2","load1","r2",0.771
"541","2","s2","load1","r2",0.959
"542","2","s1","load1","r1",1.263
"543","2","s1","load1","r1",1.525
"544","2","s2","load1","r1",1.294
"545","2","s1","load1","r1",0.822
"546","2","s2","load1","r2",1.281
"547","2","s2","load1","r2",0.636
"548","2","s2","load0","r2",0.924
"549","2","s2","load0","r1",0.589
"550","2","s1","load0","r1",0.675
"551","2","s2","load0","r1",0.618
"552","2","s2","load0","r1",0.716
"553","2","s1","load0","r1",0.527
"554","2","s2","load0","r1",0.578
"555","2","s2","load0","r1",1.268
"556","2","s2","load0","r2",0.705
"557","2","s1","load0","r1",0.75
"558","2","s1","load0","r2",0.657
"559","2","s1","load0","r2",0.711
"560","2","s2","load0","r2",1.185
"561","2","s1","load0","r1",0.83
"562","2","s2","load0","r2",0.938
"563","2","s1","load0","r2",0.658
"564","2","s1","load0","r1",0.579
"565","2","s1","load0","r1",0.646
"566","2","s1","load0","r1",0.667
"567","2","s1","load0","r1",0.683
"568","2","s1","load0","r1",0.665
"569","2","s1","load0","r1",0.723
"570","2","s1","load0","r1",0.53
"571","2","s1","load0","r1",0.906
"572","2","s1","load0","r1",0.778
"573","2","s2","load0","r2",1.201
"574","2","s2","load1","r2",1.15
"575","2","s2","load1","r2",0.652
"576","2","s1","load1","r2",1.13
"577","2","s2","load1","r2",1.038
"578","2","s1","load1","r2",0.796
"579","2","s1","load1","r2",0.67
"580","2","s2","load1","r2",1.062
"581","2","s1","load1","r2",0.776
"582","2","s2","load1","r2",0.697
"583","2","s2","load1","r2",0.81
"584","2","s2","load1","r2",1.031
"585","2","s1","load1","r1",1.904
"586","2","s1","load1","r2",1.387
"587","2","s2","load1","r2",1.019
"588","2","s2","load1","r2",0.774
"589","2","s1","load1","r1",0.954
"590","2","s2","load1","r2",0.73
"591","2","s1","load1","r1",0.832
"592","2","s1","load1","r1",1.03
"593","2","s1","load1","r2",0.898
"594","2","s1","load1","r2",0.938
"595","2","s2","load1","r2",1.222
"596","2","s1","load1","r1",1.134
"597","2","s2","load1","r2",1.346
"598","2","s1","load1","r1",1.208
"599","2","s2","load1","r2",1.142
"600","2","s1","load0","r1",1.159
"601","2","s1","load0","r1",0.863
"602","2","s2","load0","r2",1.188
"603","2","s1","load0","r1",0.954
"604","2","s1","load0","r1",0.818
"605","2","s2","load0","r2",1.024
"606","2","s2","load0","r1",0.817
"607","2","s2","load0","r2",1.159
"608","2","s2","load0","r1",0.665
"609","2","s2","load0","r1",0.613
"610","2","s1","load0","r1",1.073
"611","2","s1","load0","r1",0.761
"612","2","s2","load1","r1",0.854
"613","2","s1","load1","r1",1.445
"614","2","s1","load1","r1",0.734
"615","2","s2","load1","r1",1.547
"616","2","s2","load1","r2",1.825
"617","2","s1","load1","r1",1.026
"618","2","s2","load1","r1",0.803
"619","2","s1","load1","r1",0.856
"620","2","s2","load1","r2",1.375
"621","2","s2","load1","r2",1.125
"622","2","s2","load1","r2",1.056
"623","2","s1","load1","r1",0.9
"624","2","s2","load1","r2",0.795
"625","2","s2","load1","r1",1.019
"626","2","s1","load1","r1",0.662
"627","2","s1","load1","r1",0.797
"628","2","s2","load1","r2",0.916
"629","2","s1","load1","r1",0.871
"630","2","s1","load0","r1",0.981
"631","2","s1","load0","r1",0.78
"632","2","s2","load0","r2",1.107
"633","2","s2","load0","r1",0.482
"634","2","s2","load0","r2",1.121
"635","2","s2","load0","r1",0.458
"636","2","s2","load0","r2",0.772
"637","2","s1","load0","r1",0.78
"638","2","s2","load0","r2",0.716
"639","2","s2","load0","r2",0.802
"640","2","s2","load0","r1",0.685
"641","2","s1","load0","r1",0.652
"642","2","s1","load0","r1",0.687
"643","2","s2","load0","r2",1.221
"644","2","s1","load0","r1",0.833
"645","2","s2","load0","r2",0.668
"646","2","s2","load0","r1",1.294
"647","2","s1","load0","r1",0.95
"648","2","s1","load0","r1",0.663
"649","2","s1","load0","r1",0.62
"650","2","s2","load0","r1",0.792
"651","2","s1","load0","r1",0.69
"652","2","s2","load0","r2",0.696
"653","2","s2","load0","r1",0.641
"654","2","s2","load0","r1",0.744
"655","2","s1","load0","r1",0.838
"656","2","s2","load0","r2",0.926
"657","2","s1","load1","r1",0.923
"658","2","s1","load1","r1",0.803
"659","2","s1","load1","r2",1.122
"660","2","s2","load1","r2",0.984
"661","2","s2","load1","r2",0.915
"662","2","s2","load1","r1",1.034
"663","2","s1","load1","r1",0.632
"664","2","s1","load1","r1",1.225
"665","2","s1","load1","r1",0.836
"666","2","s2","load1","r2",0.783
"667","2","s2","load1","r2",1.57
"668","2","s1","load1","r1",1.194
"669","2","s2","load1","r1",1.637
"670","2","s2","load1","r2",1.206
"671","2","s1","load1","r1",0.787
"672","2","s2","load1","r2",1.31
"673","2","s2","load1","r2",1.194
"674","2","s1","load1","r1",0.631
"675","2","s1","load1","r1",0.693
"676","2","s1","load1","r1",0.869
"677","2","s2","load1","r1",0.682
"678","2","s1","load1","r1",1.012
"679","2","s2","load1","r2",0.864
"680","2","s2","load1","r2",1.414
"681","2","s2","load1","r2",0.963
"682","2","s1","load1","r1",0.648
"683","2","s2","load1","r2",0.945
"684","2","s2","load0","r1",1.15
"685","2","s1","load0","r1",0.575
"686","2","s1","load0","r1",0.734
"687","2","s1","load0","r1",0.83
"688","2","s2","load0","r2",0.869
"689","2","s2","load0","r2",0.783
"690","2","s2","load0","r2",0.703
"691","2","s2","load0","r2",0.896
"692","2","s2","load0","r2",0.608
"693","2","s2","load0","r1",0.552
"694","2","s2","load0","r1",1.044
"695","2","s1","load0","r1",0.96
"696","2","s1","load0","r1",0.717
"697","2","s1","load0","r1",0.891
"698","2","s2","load0","r1",0.839
"699","2","s2","load0","r1",1.205
"700","2","s1","load0","r1",0.619
"701","2","s1","load0","r1",1.054
"702","2","s1","load0","r2",0.775
"703","2","s2","load0","r1",0.723
"704","2","s2","load0","r1",0.576
"705","2","s2","load0","r2",0.575
"706","2","s2","load0","r1",0.825
"707","2","s1","load0","r1",0.887
"708","2","s2","load0","r2",0.883
"709","2","s2","load0","r2",0.685
"710","2","s2","load1","r2",1.014
"711","2","s2","load1","r2",1.262
"712","2","s1","load1","r1",0.873
"713","2","s1","load1","r1",0.89
"714","2","s2","load1","r1",1.084
"715","2","s1","load1","r1",1.437
"716","2","s2","load1","r2",1.132
"717","2","s2","load1","r2",1.165
"718","2","s2","load1","r2",1.108
"719","2","s1","load1","r1",0.629
"720","2","s2","load1","r2",1.323
"721","2","s2","load1","r1",1.081
"722","2","s1","load1","r1",0.498
"723","2","s1","load1","r1",1.35
"724","2","s1","load1","r1",0.877
"725","2","s1","load1","r1",0.964
"726","2","s1","load1","r1",0.61
"727","2","s2","load1","r1",0.765
"728","2","s2","load1","r2",1.056
"729","2","s1","load1","r1",0.789
"730","2","s1","load1","r1",0.85
"731","2","s1","load1","r1",0.587
"732","2","s1","load1","r2",1.266
"733","2","s1","load1","r1",0.859
"734","2","s2","load1","r2",0.762
"735","2","s1","load0","r1",0.806
"736","2","s1","load0","r1",0.72
"737","2","s1","load0","r1",0.884
"738","2","s1","load0","r1",0.651
"739","2","s2","load0","r2",0.626
"740","2","s2","load0","r2",0.619
"741","2","s1","load0","r1",0.604
"742","2","s1","load0","r1",0.884
"743","2","s1","load0","r1",0.635
"744","2","s2","load0","r1",0.627
"745","2","s1","load0","r1",0.671
"746","2","s2","load0","r2",0.824
"747","2","s2","load0","r2",0.577
"748","2","s2","load0","r2",1.099
"749","2","s1","load0","r2",1.265
"750","2","s1","load0","r2",1.13
"751","2","s2","load0","r2",0.794
"752","2","s2","load0","r1",0.786
"753","2","s2","load0","r1",0.63
"754","2","s2","load0","r2",1.311
"755","2","s1","load0","r1",0.679
"756","2","s2","load0","r1",0.655
"757","2","s1","load0","r1",0.517
"758","2","s2","load0","r2",0.65
"759","2","s1","load0","r1",0.556
"760","2","s2","load0","r1",1.404
"761","2","s1","load0","r1",0.54
"762","2","s1","load1","r1",1.064
"763","2","s1","load1","r2",0.976
"764","2","s2","load1","r2",1.213
"765","2","s1","load1","r2",0.916
"766","2","s1","load1","r2",0.939
"767","2","s2","load1","r2",1.318
"768","2","s2","load1","r2",1.408
"769","2","s2","load1","r2",1.207
"770","2","s2","load1","r1",0.798
"771","2","s2","load1","r1",0.812
"772","2","s1","load1","r1",0.665
"773","2","s1","load1","r1",0.965
"774","2","s2","load1","r1",1.319
"775","2","s2","load1","r1",1.034
"776","2","s1","load1","r1",0.784
"777","2","s2","load1","r1",0.828
