sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
24g,24,77284,1,10,O,green,OCoQoCQoCQ,1,1,804,605
24g,25,79582,1,10,O,green,OQCoQoCQoC,1,1,1274,369
24g,26,82114,0,10,O,green,oCQCoQoCQC,0,1,2262,572
24g,27,85846,1,10,O,green,OoCQCoQCoQ,1,1,1220,881
24g,28,88861,0,10,O,green,CoQoCQCoQC,0,1,1107,972
24g,29,91885,0,10,O,green,QCoCQoQCoC,0,1,2740,407
24g,30,95917,0,10,O,green,QCoCoQoCQC,0,1,758,576
24g,31,100466,1,10,O,green,OoQCQCoQoC,1,1,713,277
24g,32,102382,1,10,O,green,OoCQoCQCoQ,1,1,2123,784
24g,33,106201,0,10,O,green,CoQCQoCQoC,0,1,972,449
24g,34,108513,0,10,O,green,oQCQoCQoCQ,0,1,1339,483
24g,35,111300,1,10,O,green,OQoCoQCQoC,1,1,1493,573
24g,36,114274,0,10,O,green,QoCoQCQoCo,0,1,2283,550
24g,37,117999,1,10,O,green,OoCQCQoQCo,1,1,3219,811
24g,38,122942,1,10,O,green,OoCQoCQoCQ,1,1,1873,459
24g,39,126187,0,10,O,green,CQoCQoCQoQ,0,1,2760,446
24g,40,130297,1,10,O,green,OoCQCQoQCo,1,1,2418,826
