Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 022_Resid03_hard1, ResidualCost, 10039, 4243, 5690, 2016-11-17, 10:46:33:749, 1439060, 0, 2, B, 10:46:25:624, 09:59:49:610
0, 2, 022_Resid03_hard1, ResidualCost, 15208, 10039, 11066, 2016-11-17, 10:46:38:921, 1021936, 0, 2, B, 10:46:25:624, 09:59:49:610
0, 3, 022_Resid03_hard1, ResidualCost, 19323, 15209, 15854, 2016-11-17, 10:46:43:030, 638796, 0, 2, B, 10:46:25:624, 09:59:49:610
0, 4, 022_Resid03_hard1, ResidualCost, 24602, 19324, 19726, 2016-11-17, 10:46:48:311, 397024, 0, 2, B, 10:46:25:624, 09:59:49:610
0, 5, 022_Resid03_hard1, ResidualCost, 28958, 24602, 25391, 2016-11-17, 10:46:52:671, 783300, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 6, 022_Resid03_hard1, ResidualCost, 34304, 28958, 30521, 2016-11-17, 10:46:58:015, 1557716, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 7, 022_Resid03_hard1, ResidualCost, 39474, 34304, 35013, 2016-11-17, 10:47:03:186, 701444, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 8, 022_Resid03_hard1, ResidualCost, 43505, 39474, 39965, 2016-11-17, 10:47:07:218, 483320, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 9, 022_Resid03_hard1, ResidualCost, 47521, 43505, 43865, 2016-11-17, 10:47:11:233, 353612, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 10, 022_Resid03_hard1, ResidualCost, 52569, 47521, 47921, 2016-11-17, 10:47:16:280, 383020, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 11, 022_Resid03_hard1, ResidualCost, 57505, 52570, 52966, 2016-11-17, 10:47:21:218, 391184, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 12, 022_Resid03_hard1, ResidualCost, 63224, 57505, 58223, 2016-11-17, 10:47:26:936, 711120, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 13, 022_Resid03_hard1, ResidualCost, 67864, 63224, 63639, 2016-11-17, 10:47:31:577, 407100, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 14, 022_Resid03_hard1, ResidualCost, 72911, 67864, 68226, 2016-11-17, 10:47:36:624, 355216, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 15, 022_Resid03_hard1, ResidualCost, 76944, 72911, 73441, 2016-11-17, 10:47:40:655, 521948, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 16, 022_Resid03_hard1, ResidualCost, 82303, 76944, 77398, 2016-11-17, 10:47:46:014, 447984, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 17, 022_Resid03_hard1, ResidualCost, 87053, 82303, 82576, 2016-11-17, 10:47:50:764, 266244, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 18, 022_Resid03_hard1, ResidualCost, 93053, 87053, 87425, 2016-11-17, 10:47:56:764, 366092, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 19, 022_Resid03_hard1, ResidualCost, 97739, 93053, 93452, 2016-11-17, 10:48:01:452, 392208, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 20, 022_Resid03_hard1, ResidualCost, 102460, 97739, 98190, 2016-11-17, 10:48:06:171, 442284, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 21, 022_Resid03_hard1, ResidualCost, 108130, 102460, 102887, 2016-11-17, 10:48:11:842, 419952, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 22, 022_Resid03_hard1, ResidualCost, 112223, 108131, 109146, 2016-11-17, 10:48:15:936, 99999999, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 23, 022_Resid03_hard1, ResidualCost, 117099, 112224, 112494, 2016-11-17, 10:48:20:811, 262092, 0, 2, 0, 10:46:25:624, 10:46:49:843
0, 24, 022_Resid03_hard1, ResidualCost, 121912, 117099, 117444, 2016-11-17, 10:48:25:624, 338960, 0, 2, 0, 10:46:25:624, 10:46:49:843
