Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 012_Resid03_hard2, ResidualCost, 11191, 5909, 7050, 2016-11-10, 09:13:57:844, 1135008, 0, 2, B, 09:13:54:078, 10:53:26:869
0, 2, 012_Resid03_hard2, ResidualCost, 15194, 11191, 11586, 2016-11-10, 09:14:01:844, 391936, 0, 2, B, 09:13:54:078, 10:53:26:869
0, 3, 012_Resid03_hard2, ResidualCost, 20911, 15194, 15508, 2016-11-10, 09:14:07:563, 310224, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 4, 012_Resid03_hard2, ResidualCost, 26305, 20911, 21202, 2016-11-10, 09:14:12:954, 287660, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 5, 012_Resid03_hard2, ResidualCost, 31540, 26305, 26555, 2016-11-10, 09:14:18:189, 246556, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 6, 012_Resid03_hard2, ResidualCost, 36416, 31540, 31950, 2016-11-10, 09:14:23:064, 401816, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 7, 012_Resid03_hard2, ResidualCost, 42087, 36417, 37102, 2016-11-10, 09:14:28:737, 675884, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 8, 012_Resid03_hard2, ResidualCost, 46587, 42088, 42436, 2016-11-10, 09:14:33:237, 339412, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 9, 012_Resid03_hard2, ResidualCost, 52225, 46588, 46843, 2016-11-10, 09:14:38:878, 245976, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 10, 012_Resid03_hard2, ResidualCost, 56680, 52225, 52852, 2016-11-10, 09:14:43:331, 623252, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 11, 012_Resid03_hard2, ResidualCost, 62244, 56681, 57020, 2016-11-10, 09:14:48:894, 332628, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 12, 012_Resid03_hard2, ResidualCost, 67559, 62244, 62579, 2016-11-10, 09:14:54:207, 325448, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 13, 012_Resid03_hard2, ResidualCost, 71590, 67560, 67828, 2016-11-10, 09:14:58:238, 259392, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 14, 012_Resid03_hard2, ResidualCost, 76102, 71590, 71908, 2016-11-10, 09:15:02:754, 309156, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 15, 012_Resid03_hard2, ResidualCost, 80805, 76102, 76315, 2016-11-10, 09:15:07:458, 209100, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 16, 012_Resid03_hard2, ResidualCost, 85245, 80805, 81105, 2016-11-10, 09:15:11:895, 296512, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 17, 012_Resid03_hard2, ResidualCost, 91212, 85246, 85576, 2016-11-10, 09:15:17:865, 321056, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 18, 012_Resid03_hard2, ResidualCost, 96852, 91213, 91457, 2016-11-10, 09:15:23:505, 239672, 0, 2, 0, 09:13:54:078, 09:14:03:329
0, 19, 012_Resid03_hard2, ResidualCost, 101145, 96852, 97191, 2016-11-10, 09:15:27:787, 333292, 0, 2, 0, 09:13:54:078, 09:14:03:329
