Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 037_Resid03_hard2, ResidualCost, 10454, 5203, 5718, 2016-12-09, 09:40:22:245, 505324, 0, 2, B, 09:40:14:431, 09:35:57:575
0, 2, 037_Resid03_hard2, ResidualCost, 15458, 10454, 10740, 2016-12-09, 09:40:27:245, 280740, 0, 2, B, 09:40:14:431, 09:35:57:575
0, 3, 037_Resid03_hard2, ResidualCost, 21142, 15458, 15814, 2016-12-09, 09:40:32:933, 349184, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 4, 037_Resid03_hard2, ResidualCost, 26611, 21142, 21610, 2016-12-09, 09:40:38:402, 462168, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 5, 037_Resid03_hard2, ResidualCost, 31016, 26611, 30581, 2016-12-09, 09:40:42:808, 3965248, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 6, 037_Resid03_hard2, ResidualCost, 35829, 31017, 31522, 2016-12-09, 09:40:47:621, 499636, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 7, 037_Resid03_hard2, ResidualCost, 41673, 35830, 36259, 2016-12-09, 09:40:53:465, 421432, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 8, 037_Resid03_hard2, ResidualCost, 47501, 41673, 41955, 2016-12-09, 09:40:59:293, 274648, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 9, 037_Resid03_hard2, ResidualCost, 52550, 47501, 47914, 2016-12-09, 09:41:04:339, 406592, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 10, 037_Resid03_hard2, ResidualCost, 56830, 52550, 53067, 2016-12-09, 09:41:08:621, 510896, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 11, 037_Resid03_hard2, ResidualCost, 62174, 56830, 57298, 2016-12-09, 09:41:13:965, 463652, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 12, 037_Resid03_hard2, ResidualCost, 66594, 62175, 62487, 2016-12-09, 09:41:18:386, 307052, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 13, 037_Resid03_hard2, ResidualCost, 71328, 66595, 66782, 2016-12-09, 09:41:23:121, 181484, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 14, 037_Resid03_hard2, ResidualCost, 75329, 71328, 71670, 2016-12-09, 09:41:27:121, 336444, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 15, 037_Resid03_hard2, ResidualCost, 81220, 75329, 75840, 2016-12-09, 09:41:33:012, 505008, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 16, 037_Resid03_hard2, ResidualCost, 87016, 81220, 81471, 2016-12-09, 09:41:38:808, 244232, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 17, 037_Resid03_hard2, ResidualCost, 91063, 87017, 88034, 2016-12-09, 09:41:42:855, 99999999, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 18, 037_Resid03_hard2, ResidualCost, 96313, 91063, 91436, 2016-12-09, 09:41:48:105, 367232, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 19, 037_Resid03_hard2, ResidualCost, 101313, 96313, 97330, 2016-12-09, 09:41:53:105, 99999999, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 20, 037_Resid03_hard2, ResidualCost, 106204, 101313, 102006, 2016-12-09, 09:41:57:996, 686932, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 21, 037_Resid03_hard2, ResidualCost, 112001, 106204, 106685, 2016-12-09, 09:42:03:793, 474332, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 22, 037_Resid03_hard2, ResidualCost, 116579, 112001, 112507, 2016-12-09, 09:42:08:371, 489672, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 23, 037_Resid03_hard2, ResidualCost, 121253, 116579, 117595, 2016-12-09, 09:42:13:045, 99999999, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 24, 037_Resid03_hard2, ResidualCost, 126676, 121264, 121552, 2016-12-09, 09:42:18:468, 279928, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 25, 037_Resid03_hard2, ResidualCost, 130849, 126676, 127054, 2016-12-09, 09:42:22:639, 372440, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 26, 037_Resid03_hard2, ResidualCost, 135460, 130849, 131389, 2016-12-09, 09:42:27:251, 533768, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 27, 037_Resid03_hard2, ResidualCost, 139570, 135460, 135796, 2016-12-09, 09:42:31:360, 331320, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 28, 037_Resid03_hard2, ResidualCost, 145429, 139570, 140585, 2016-12-09, 09:42:37:219, 99999999, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 29, 037_Resid03_hard2, ResidualCost, 150021, 145429, 145806, 2016-12-09, 09:42:41:813, 360348, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 30, 037_Resid03_hard2, ResidualCost, 154771, 150022, 151038, 2016-12-09, 09:42:46:563, 99999999, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 31, 037_Resid03_hard2, ResidualCost, 158820, 154772, 155283, 2016-12-09, 09:42:50:610, 503192, 0, 2, 0, 09:40:14:431, 09:40:28:245
0, 32, 037_Resid03_hard2, ResidualCost, 164609, 158821, 159229, 2016-12-09, 09:42:56:398, 400020, 0, 2, B, 09:42:56:383, 09:40:28:245
0, 33, 037_Resid03_hard2, ResidualCost, 169718, 164609, 165005, 2016-12-09, 09:43:01:508, 389656, 0, 2, B, 09:42:56:383, 09:40:28:245
0, 34, 037_Resid03_hard2, ResidualCost, 175216, 169719, 170001, 2016-12-09, 09:43:07:008, 276944, 0, 2, B, 09:42:56:383, 09:40:28:245
0, 35, 037_Resid03_hard2, ResidualCost, 179752, 175216, 175534, 2016-12-09, 09:43:11:539, 312028, 0, 2, B, 09:42:56:383, 09:40:28:245
0, 36, 037_Resid03_hard2, ResidualCost, 184984, 179752, 180937, 2016-12-09, 09:43:16:773, 1179452, 0, 2, 1, 09:43:14:351, 09:43:13:539
0, 37, 037_Resid03_hard2, ResidualCost, 189860, 184984, 185684, 2016-12-09, 09:43:21:648, 694808, 0, 2, 1, 09:43:14:351, 09:43:13:539
0, 38, 037_Resid03_hard2, ResidualCost, 195606, 189861, 190877, 2016-12-09, 09:43:27:398, 99999999, 0, 2, 1, 09:43:14:351, 09:43:13:539
0, 39, 037_Resid03_hard2, ResidualCost, 200419, 195606, 196626, 2016-12-09, 09:43:32:211, 99999999, 0, 2, 1, 09:43:14:351, 09:43:13:539
0, 40, 037_Resid03_hard2, ResidualCost, 205655, 200419, 201329, 2016-12-09, 09:43:37:445, 905848, 0, 2, 1, 09:43:14:351, 09:43:13:539
0, 41, 037_Resid03_hard2, ResidualCost, 209700, 205655, 206669, 2016-12-09, 09:43:41:492, 99999999, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 42, 037_Resid03_hard2, ResidualCost, 214999, 209700, 210728, 2016-12-09, 09:43:46:789, 99999999, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 43, 037_Resid03_hard2, ResidualCost, 219389, 214999, 215325, 2016-12-09, 09:43:51:180, 310836, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 44, 037_Resid03_hard2, ResidualCost, 224076, 219390, 220391, 2016-12-09, 09:43:55:868, 995560, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 45, 037_Resid03_hard2, ResidualCost, 229341, 224076, 224413, 2016-12-09, 09:44:01:133, 331108, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 45, 037_Resid03_hard2, ResidualCost, 233498, 229342, 229348, 2016-12-09, 09:44:05:290, 496, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 46, 037_Resid03_hard2, ResidualCost, 237936, 233499, 233728, 2016-12-09, 09:44:09:728, 223508, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 47, 037_Resid03_hard2, ResidualCost, 242732, 237936, 238308, 2016-12-09, 09:44:14:525, 365260, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 48, 037_Resid03_hard2, ResidualCost, 246844, 242733, 243163, 2016-12-09, 09:44:18:634, 425752, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 49, 037_Resid03_hard2, ResidualCost, 251251, 246844, 247400, 2016-12-09, 09:44:23:043, 549128, 0, 2, 0, 09:43:14:351, 09:43:37:836
0, 50, 037_Resid03_hard2, ResidualCost, 255270, 251251, 251614, 2016-12-09, 09:44:27:058, 355492, 0, 2, 3, 09:44:26:355, 09:43:37:836
0, 51, 037_Resid03_hard2, ResidualCost, 259284, 255270, 256284, 2016-12-09, 09:44:31:074, 99999999, 0, 2, 3, 09:44:26:355, 09:43:37:836
0, 52, 037_Resid03_hard2, ResidualCost, 264751, 259284, 260286, 2016-12-09, 09:44:36:543, 99999999, 0, 2, 3, 09:44:26:355, 09:43:37:836
0, 53, 037_Resid03_hard2, ResidualCost, 269864, 264751, 265768, 2016-12-09, 09:44:41:652, 99999999, 0, 2, 3, 09:44:26:355, 09:43:37:836
0, 54, 037_Resid03_hard2, ResidualCost, 275705, 269864, 270880, 2016-12-09, 09:44:47:496, 99999999, 0, 2, 3, 09:44:26:355, 09:43:37:836
0, 55, 037_Resid03_hard2, ResidualCost, 280766, 275705, 276723, 2016-12-09, 09:44:52:558, 99999999, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 56, 037_Resid03_hard2, ResidualCost, 286641, 280766, 281128, 2016-12-09, 09:44:58:433, 354748, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 57, 037_Resid03_hard2, ResidualCost, 290784, 286641, 287074, 2016-12-09, 09:45:02:574, 425720, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 58, 037_Resid03_hard2, ResidualCost, 295485, 290784, 291198, 2016-12-09, 09:45:07:277, 406684, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 59, 037_Resid03_hard2, ResidualCost, 300485, 295485, 295904, 2016-12-09, 09:45:12:277, 411236, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 60, 037_Resid03_hard2, ResidualCost, 305829, 300485, 300726, 2016-12-09, 09:45:17:621, 233360, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 61, 037_Resid03_hard2, ResidualCost, 311283, 305829, 306594, 2016-12-09, 09:45:23:074, 759916, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 62, 037_Resid03_hard2, ResidualCost, 316220, 311284, 311634, 2016-12-09, 09:45:28:011, 344156, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 63, 037_Resid03_hard2, ResidualCost, 321610, 316220, 317003, 2016-12-09, 09:45:33:402, 777676, 0, 2, 0, 09:44:26:355, 09:44:48:621
0, 64, 037_Resid03_hard2, ResidualCost, 326284, 321610, 322102, 2016-12-09, 09:45:38:074, 484420, 0, 2, 1, 09:45:33:980, 09:44:48:621
0, 65, 037_Resid03_hard2, ResidualCost, 331612, 326284, 326744, 2016-12-09, 09:45:43:402, 451984, 0, 2, 1, 09:45:33:980, 09:44:48:621
0, 66, 037_Resid03_hard2, ResidualCost, 336079, 331613, 332630, 2016-12-09, 09:45:47:871, 99999999, 0, 2, 1, 09:45:33:980, 09:44:48:621
0, 67, 037_Resid03_hard2, ResidualCost, 341285, 336079, 337082, 2016-12-09, 09:45:53:074, 99999999, 0, 2, 1, 09:45:33:980, 09:44:48:621
