Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 037_Resid03_easy2, ResidualCost, 9048, 4268, 4563, 2016-12-09, 09:11:27:636, 290180, 0, 2, B, 09:11:20:355, 14:55:30:328
0, 2, 037_Resid03_easy2, ResidualCost, 13613, 9049, 9378, 2016-12-09, 09:11:32:198, 325812, 0, 2, B, 09:11:20:355, 14:55:30:328
0, 3, 037_Resid03_easy2, ResidualCost, 18642, 13613, 13923, 2016-12-09, 09:11:37:230, 305380, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 4, 037_Resid03_easy2, ResidualCost, 23393, 18642, 18968, 2016-12-09, 09:11:41:980, 322544, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 5, 037_Resid03_easy2, ResidualCost, 28830, 23393, 23695, 2016-12-09, 09:11:47:417, 298464, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 6, 037_Resid03_easy2, ResidualCost, 34486, 28830, 29252, 2016-12-09, 09:11:53:073, 419008, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 7, 037_Resid03_easy2, ResidualCost, 38970, 34486, 34918, 2016-12-09, 09:11:57:558, 428932, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 8, 037_Resid03_easy2, ResidualCost, 43267, 38970, 39252, 2016-12-09, 09:12:01:855, 278636, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 9, 037_Resid03_easy2, ResidualCost, 48676, 43267, 43516, 2016-12-09, 09:12:07:261, 245784, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 10, 037_Resid03_easy2, ResidualCost, 53613, 48676, 48928, 2016-12-09, 09:12:12:199, 244852, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 11, 037_Resid03_easy2, ResidualCost, 58926, 53613, 53937, 2016-12-09, 09:12:17:512, 316588, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 12, 037_Resid03_easy2, ResidualCost, 64833, 58926, 59274, 2016-12-09, 09:12:23:418, 342080, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 13, 037_Resid03_easy2, ResidualCost, 70491, 64834, 65084, 2016-12-09, 09:12:29:077, 244044, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 14, 037_Resid03_easy2, ResidualCost, 75913, 70491, 71218, 2016-12-09, 09:12:34:499, 714428, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 15, 037_Resid03_easy2, ResidualCost, 80274, 75913, 76200, 2016-12-09, 09:12:38:858, 282900, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 16, 037_Resid03_easy2, ResidualCost, 85439, 80274, 80591, 2016-12-09, 09:12:44:025, 311204, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 17, 037_Resid03_easy2, ResidualCost, 90049, 85439, 85628, 2016-12-09, 09:12:48:635, 183160, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 18, 037_Resid03_easy2, ResidualCost, 95753, 90049, 90292, 2016-12-09, 09:12:54:338, 237664, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 19, 037_Resid03_easy2, ResidualCost, 100761, 95753, 96106, 2016-12-09, 09:12:59:346, 344972, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 20, 037_Resid03_easy2, ResidualCost, 105434, 100761, 101119, 2016-12-09, 09:13:04:018, 351496, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 21, 037_Resid03_easy2, ResidualCost, 110245, 105434, 105685, 2016-12-09, 09:13:08:831, 246356, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 22, 037_Resid03_easy2, ResidualCost, 114823, 110245, 110952, 2016-12-09, 09:13:13:409, 700652, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 23, 037_Resid03_easy2, ResidualCost, 120620, 114824, 115049, 2016-12-09, 09:13:19:206, 220688, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 24, 037_Resid03_easy2, ResidualCost, 125434, 120620, 120951, 2016-12-09, 09:13:24:018, 323312, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 25, 037_Resid03_easy2, ResidualCost, 130090, 125434, 125751, 2016-12-09, 09:13:28:676, 310504, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 26, 037_Resid03_easy2, ResidualCost, 134355, 130090, 130338, 2016-12-09, 09:13:32:941, 241684, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 27, 037_Resid03_easy2, ResidualCost, 140279, 134356, 134606, 2016-12-09, 09:13:38:863, 245004, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 28, 037_Resid03_easy2, ResidualCost, 145215, 140279, 140490, 2016-12-09, 09:13:43:801, 204368, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 29, 037_Resid03_easy2, ResidualCost, 150590, 145215, 145531, 2016-12-09, 09:13:49:176, 310008, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 30, 037_Resid03_easy2, ResidualCost, 155090, 150590, 150882, 2016-12-09, 09:13:53:676, 285624, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 31, 037_Resid03_easy2, ResidualCost, 160061, 155091, 155779, 2016-12-09, 09:13:58:647, 682464, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 32, 037_Resid03_easy2, ResidualCost, 164594, 160061, 160446, 2016-12-09, 09:14:03:178, 379688, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 33, 037_Resid03_easy2, ResidualCost, 169109, 164594, 165609, 2016-12-09, 09:14:07:695, 99999999, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 34, 037_Resid03_easy2, ResidualCost, 174095, 169109, 169471, 2016-12-09, 09:14:12:681, 356972, 0, 2, 0, 09:11:20:355, 09:11:33:839
0, 35, 037_Resid03_easy2, ResidualCost, 178398, 174096, 175114, 2016-12-09, 09:14:16:978, 99999999, 0, 2, B, 09:14:14:072, 09:11:33:839
0, 36, 037_Resid03_easy2, ResidualCost, 183924, 178398, 178783, 2016-12-09, 09:14:22:509, 376796, 0, 2, 0, 09:14:14:072, 09:14:21:181
0, 37, 037_Resid03_easy2, ResidualCost, 189927, 183924, 184196, 2016-12-09, 09:14:28:509, 264108, 0, 2, 1, 09:14:24:994, 09:14:21:181
0, 38, 037_Resid03_easy2, ResidualCost, 194814, 189928, 190203, 2016-12-09, 09:14:33:400, 268944, 0, 2, 1, 09:14:24:994, 09:14:21:181
0, 39, 037_Resid03_easy2, ResidualCost, 200379, 194814, 195834, 2016-12-09, 09:14:38:963, 99999999, 0, 2, 1, 09:14:24:994, 09:14:21:181
0, 40, 037_Resid03_easy2, ResidualCost, 204647, 200379, 200839, 2016-12-09, 09:14:43:228, 455108, 0, 2, 1, 09:14:24:994, 09:14:21:181
0, 41, 037_Resid03_easy2, ResidualCost, 208751, 204647, 205111, 2016-12-09, 09:14:47:337, 458968, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 42, 037_Resid03_easy2, ResidualCost, 214298, 208752, 209115, 2016-12-09, 09:14:52:884, 357316, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 43, 037_Resid03_easy2, ResidualCost, 220174, 214299, 215290, 2016-12-09, 09:14:58:759, 976512, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 44, 037_Resid03_easy2, ResidualCost, 224798, 220174, 221019, 2016-12-09, 09:15:03:384, 839136, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 45, 037_Resid03_easy2, ResidualCost, 230471, 224799, 225161, 2016-12-09, 09:15:09:057, 356916, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 46, 037_Resid03_easy2, ResidualCost, 236003, 230471, 230720, 2016-12-09, 09:15:14:588, 243084, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 47, 037_Resid03_easy2, ResidualCost, 240831, 236003, 236329, 2016-12-09, 09:15:19:416, 309464, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 48, 037_Resid03_easy2, ResidualCost, 245893, 240831, 241314, 2016-12-09, 09:15:24:479, 477444, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 49, 037_Resid03_easy2, ResidualCost, 251283, 245893, 246363, 2016-12-09, 09:15:29:869, 464320, 0, 2, 0, 09:14:24:994, 09:14:45:463
0, 50, 037_Resid03_easy2, ResidualCost, 256814, 251284, 251753, 2016-12-09, 09:15:35:400, 462644, 0, 2, 3, 09:15:32:963, 09:14:45:463
0, 51, 037_Resid03_easy2, ResidualCost, 262596, 256815, 257819, 2016-12-09, 09:15:41:182, 99999999, 0, 2, 3, 09:15:32:963, 09:14:45:463
0, 52, 037_Resid03_easy2, ResidualCost, 267367, 262596, 262985, 2016-12-09, 09:15:45:947, 384236, 0, 2, 3, 09:15:32:963, 09:14:45:463
0, 53, 037_Resid03_easy2, ResidualCost, 273236, 267367, 267832, 2016-12-09, 09:15:51:822, 458408, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 54, 037_Resid03_easy2, ResidualCost, 277393, 273236, 273492, 2016-12-09, 09:15:55:978, 250620, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 55, 037_Resid03_easy2, ResidualCost, 283189, 277393, 277728, 2016-12-09, 09:16:01:775, 329400, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 56, 037_Resid03_easy2, ResidualCost, 288253, 283190, 283545, 2016-12-09, 09:16:06:838, 349172, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 57, 037_Resid03_easy2, ResidualCost, 292503, 288253, 288692, 2016-12-09, 09:16:11:088, 432764, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 58, 037_Resid03_easy2, ResidualCost, 298503, 292503, 293315, 2016-12-09, 09:16:17:088, 805836, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 59, 037_Resid03_easy2, ResidualCost, 303470, 298503, 298799, 2016-12-09, 09:16:22:057, 288644, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 60, 037_Resid03_easy2, ResidualCost, 308910, 303471, 303882, 2016-12-09, 09:16:27:494, 405868, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 61, 037_Resid03_easy2, ResidualCost, 313394, 308910, 309286, 2016-12-09, 09:16:31:978, 361696, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 62, 037_Resid03_easy2, ResidualCost, 317581, 313394, 313680, 2016-12-09, 09:16:36:167, 267540, 0, 2, 0, 09:15:32:963, 09:15:51:479
0, 63, 037_Resid03_easy2, ResidualCost, 323473, 317581, 317969, 2016-12-09, 09:16:42:058, 379532, 0, 2, 1, 09:16:36:933, 09:15:51:479
0, 64, 037_Resid03_easy2, ResidualCost, 328710, 323473, 323885, 2016-12-09, 09:16:47:292, 405364, 0, 2, 1, 09:16:36:933, 09:15:51:479
0, 65, 037_Resid03_easy2, ResidualCost, 334554, 328710, 329156, 2016-12-09, 09:16:53:137, 436212, 0, 2, 1, 09:16:36:933, 09:15:51:479
0, 66, 037_Resid03_easy2, ResidualCost, 340556, 334554, 335571, 2016-12-09, 09:16:59:136, 99999999, 0, 2, 1, 09:16:36:933, 09:15:51:479
0, 67, 037_Resid03_easy2, ResidualCost, 344863, 340556, 341006, 2016-12-09, 09:17:03:449, 444568, 0, 2, 0, 09:16:36:933, 09:16:59:496
