"","s","S","F","R","RT","congruent","OverallAcc","WMC"
"1","1","s2","A","r2",0.393,"1",1,"L"
"2","1","s2","A","r2",0.309,"0",1,"L"
"3","1","s2","A","r2",0.405,"1",1,"L"
"4","1","s2","A","r1",0.465,"0",0,"L"
"5","1","s1","A","r1",0.392,"1",1,"L"
"6","1","s2","A","r2",0.403,"1",1,"L"
"7","1","s1","A","r1",0.544,"1",1,"L"
"8","1","s2","A","r2",0.467,"0",1,"L"
"9","1","s2","A","r2",0.492,"1",1,"L"
"10","1","s2","A","r1",0.388,"0",0,"L"
"11","1","s2","A","r2",0.382,"1",1,"L"
"12","1","s2","A","r1",0.396,"0",0,"L"
"13","1","s2","A","r2",0.614,"1",1,"L"
"14","1","s1","A","r1",0.569,"1",1,"L"
"15","1","s2","A","r2",0.635,"0",1,"L"
"16","1","s2","A","r2",0.396,"1",1,"L"
"17","1","s1","A","r1",0.552,"1",1,"L"
"18","1","s2","A","r2",0.475,"0",1,"L"
"19","1","s2","A","r2",0.484,"1",1,"L"
"20","1","s1","A","r1",0.589,"1",1,"L"
"21","1","s2","A","r2",0.543,"1",1,"L"
"22","1","s1","A","r1",0.581,"1",1,"L"
"23","1","s2","A","r2",0.519,"1",1,"L"
"24","1","s1","A","r1",0.478,"1",1,"L"
"25","1","s2","A","r2",0.437,"1",1,"L"
"26","1","s2","A","r2",0.48,"0",1,"L"
"27","1","s1","A","r1",0.712,"1",1,"L"
"28","1","s1","A","r1",0.421,"1",1,"L"
"29","1","s2","A","r2",0.398,"0",1,"L"
"30","1","s2","A","r2",0.427,"0",1,"L"
"31","1","s2","A","r2",0.373,"1",1,"L"
"32","1","s1","A","r1",0.483,"1",1,"L"
"33","1","s1","A","r1",0.457,"1",1,"L"
"34","1","s2","A","r2",0.529,"1",1,"L"
"35","1","s1","A","r1",0.44,"1",1,"L"
"36","1","s1","A","r1",0.432,"1",1,"L"
"37","1","s2","A","r2",0.409,"1",1,"L"
"38","1","s2","A","r2",0.517,"1",1,"L"
"39","1","s1","A","r1",0.508,"1",1,"L"
"40","1","s2","A","r1",0.514,"0",0,"L"
"41","1","s2","A","r2",0.455,"0",1,"L"
"42","1","s1","A","r1",0.417,"1",1,"L"
"43","1","s2","A","r2",0.426,"1",1,"L"
"44","1","s1","A","r1",0.469,"1",1,"L"
"45","1","s2","A","r1",0.525,"0",0,"L"
"46","1","s1","A","r1",0.482,"1",1,"L"
"47","1","s1","A","r1",0.456,"1",1,"L"
"48","1","s1","A","r1",0.4,"1",1,"L"
"49","1","s2","A","r2",0.522,"1",1,"L"
"50","1","s1","A","r1",0.514,"1",1,"L"
"51","1","s2","A","r2",0.775,"1",1,"L"
"52","1","s2","A","r2",0.419,"1",1,"L"
"53","1","s2","A","r2",0.335,"1",1,"L"
"54","1","s2","A","r2",0.35,"1",1,"L"
"55","1","s1","A","r1",0.572,"1",1,"L"
"56","1","s1","A","r1",0.415,"1",1,"L"
"57","1","s2","A","r2",0.552,"1",1,"L"
"58","1","s1","A","r1",0.381,"1",1,"L"
"59","1","s2","A","r2",0.472,"1",1,"L"
"60","1","s2","A","r2",0.402,"1",1,"L"
"61","1","s1","A","r1",0.382,"1",1,"L"
"62","1","s1","A","r1",0.441,"1",1,"L"
"63","1","s1","A","r1",0.386,"1",1,"L"
"64","1","s1","A","r1",0.349,"1",1,"L"
"65","1","s2","A","r2",0.457,"0",1,"L"
"66","1","s1","A","r1",0.434,"1",1,"L"
"67","1","s2","A","r2",0.427,"1",1,"L"
"68","1","s2","A","r2",0.47,"0",1,"L"
"69","1","s1","A","r1",0.48,"1",1,"L"
"70","1","s2","A","r2",0.502,"1",1,"L"
"71","1","s1","A","r1",0.43,"1",1,"L"
"72","1","s2","A","r2",0.439,"1",1,"L"
"73","1","s1","A","r1",0.418,"1",1,"L"
"74","1","s2","A","r2",0.379,"0",1,"L"
"75","1","s1","A","r1",0.44,"1",1,"L"
"76","1","s2","A","r2",0.353,"1",1,"L"
"77","1","s2","A","r1",0.527,"0",0,"L"
"78","1","s2","A","r2",0.388,"1",1,"L"
"79","1","s2","A","r2",0.417,"1",1,"L"
"80","1","s1","A","r1",0.492,"1",1,"L"
"81","1","s1","A","r1",0.451,"1",1,"L"
"82","1","s2","A","r1",0.443,"0",0,"L"
"83","1","s1","A","r1",0.612,"1",1,"L"
"84","1","s1","A","r1",0.436,"1",1,"L"
"85","1","s2","A","r1",0.413,"1",0,"L"
"86","1","s2","A","r1",0.567,"0",0,"L"
"87","1","s1","A","r1",0.617,"1",1,"L"
"88","1","s2","A","r2",0.458,"1",1,"L"
"89","1","s1","A","r1",0.516,"1",1,"L"
"90","1","s1","A","r1",0.489,"1",1,"L"
"91","1","s1","A","r1",0.462,"1",1,"L"
"92","1","s1","A","r1",0.39,"1",1,"L"
"93","1","s1","A","r1",0.385,"1",1,"L"
"94","1","s2","A","r2",0.459,"1",1,"L"
"95","1","s2","A","r2",0.517,"0",1,"L"
"96","1","s2","A","r1",0.492,"0",0,"L"
"97","1","s2","A","r2",0.611,"0",1,"L"
"98","1","s2","A","r2",0.422,"1",1,"L"
"99","1","s2","A","r1",0.465,"0",0,"L"
"100","1","s2","A","r1",0.488,"0",0,"L"
"101","1","s2","A","r2",0.519,"1",1,"L"
"102","1","s1","A","r1",0.398,"1",1,"L"
"103","1","s1","A","r1",0.424,"1",1,"L"
"104","1","s2","A","r2",0.434,"0",1,"L"
"105","1","s2","A","r1",0.588,"0",0,"L"
"106","1","s2","A","r2",0.43,"1",1,"L"
"107","1","s1","A","r1",0.441,"1",1,"L"
"108","1","s2","A","r2",0.321,"1",1,"L"
"109","1","s2","A","r2",0.369,"1",1,"L"
"110","1","s1","A","r2",0.559,"1",0,"L"
"111","1","s1","A","r1",0.435,"1",1,"L"
"112","1","s2","A","r2",0.412,"1",1,"L"
"113","1","s2","A","r1",0.391,"0",0,"L"
"114","1","s2","A","r2",0.386,"0",1,"L"
"115","1","s2","A","r2",0.415,"1",1,"L"
"116","1","s2","A","r2",0.395,"1",1,"L"
"117","1","s2","A","r2",0.343,"1",1,"L"
"118","1","s2","A","r2",0.326,"1",1,"L"
"119","1","s2","A","r2",0.421,"1",1,"L"
"120","1","s1","A","r1",0.433,"1",1,"L"
"121","1","s2","A","r2",0.329,"1",1,"L"
"122","1","s2","A","r2",0.409,"1",1,"L"
"123","1","s1","A","r1",0.308,"1",1,"L"
"124","1","s2","A","r2",0.195,"1",1,"L"
"125","1","s1","A","r1",0.28,"1",1,"L"
"126","1","s2","A","r2",0.263,"1",1,"L"
"127","1","s1","A","r1",0.281,"1",1,"L"
"128","1","s2","A","r2",0.184,"1",1,"L"
"129","1","s2","A","r1",0.142,"1",0,"L"
"130","1","s2","A","r1",0.31,"0",0,"L"
"131","1","s1","A","r1",0.422,"1",1,"L"
"132","1","s1","A","r1",0.479,"1",1,"L"
"133","1","s2","A","r2",0.405,"0",1,"L"
"134","1","s1","A","r1",0.496,"1",1,"L"
"135","1","s2","A","r2",0.469,"1",1,"L"
"136","1","s2","A","r2",0.383,"1",1,"L"
"137","1","s2","A","r2",0.428,"1",1,"L"
"138","1","s1","A","r1",0.407,"1",1,"L"
"139","1","s2","A","r2",1.056,"1",1,"L"
"140","1","s2","A","r2",0.832,"1",1,"L"
"141","1","s1","A","r1",0.522,"1",1,"L"
"142","1","s2","A","r2",0.415,"1",1,"L"
"143","1","s2","A","r1",0.634,"0",0,"L"
"144","1","s1","A","r1",0.538,"1",1,"L"
"145","1","s1","A","r1",0.495,"1",1,"L"
"146","1","s2","A","r2",0.581,"0",1,"L"
"147","1","s1","A","r1",0.503,"1",1,"L"
"148","1","s2","A","r2",0.477,"1",1,"L"
"149","1","s2","A","r2",0.853,"1",1,"L"
"150","1","s2","A","r2",0.446,"1",1,"L"
"151","1","s2","A","r2",0.757,"1",1,"L"
"152","1","s1","A","r1",0.466,"1",1,"L"
"153","1","s2","A","r1",0.489,"0",0,"L"
"154","1","s2","A","r2",0.543,"1",1,"L"
"155","1","s2","A","r2",0.373,"1",1,"L"
"156","1","s2","A","r2",0.37,"1",1,"L"
"157","1","s2","A","r1",0.8,"0",0,"L"
"158","1","s2","A","r2",0.584,"0",1,"L"
"159","1","s2","A","r2",0.509,"1",1,"L"
"160","1","s1","A","r1",0.708,"1",1,"L"
"161","1","s1","A","r1",0.545,"1",1,"L"
"162","1","s1","A","r1",0.485,"1",1,"L"
"163","1","s2","A","r2",0.491,"0",1,"L"
"164","1","s2","A","r2",0.499,"0",1,"L"
"165","1","s2","A","r2",0.411,"1",1,"L"
"166","1","s1","A","r1",0.407,"1",1,"L"
"167","1","s2","A","r2",0.481,"1",1,"L"
"168","1","s1","A","r1",0.426,"1",1,"L"
"169","1","s1","A","r1",0.451,"1",1,"L"
"170","1","s2","A","r2",0.523,"1",1,"L"
"171","1","s2","A","r2",0.738,"1",1,"L"
"172","1","s1","A","r1",0.416,"1",1,"L"
"173","1","s2","A","r2",0.425,"0",1,"L"
"174","1","s2","A","r2",0.436,"1",1,"L"
"175","1","s1","A","r1",0.479,"1",1,"L"
"176","1","s1","A","r1",0.453,"1",1,"L"
"177","1","s2","A","r2",0.461,"0",1,"L"
"178","1","s2","A","r2",0.391,"1",1,"L"
"179","1","s2","A","r2",0.403,"1",1,"L"
"180","1","s2","A","r2",0.495,"0",1,"L"
"181","1","s1","A","r1",0.487,"1",1,"L"
"182","1","s2","A","r2",0.478,"0",1,"L"
"183","1","s1","A","r1",0.452,"1",1,"L"
"184","1","s2","A","r1",0.508,"0",0,"L"
"185","1","s2","A","r2",0.578,"0",1,"L"
"186","1","s2","A","r2",0.535,"0",1,"L"
"187","1","s1","A","r1",0.509,"1",1,"L"
"188","1","s2","A","r2",0.387,"1",1,"L"
"189","1","s1","A","r1",0.4,"1",1,"L"
"190","1","s2","A","r2",0.346,"1",1,"L"
"191","1","s2","A","r2",0.393,"1",1,"L"
"192","1","s1","A","r1",0.389,"1",1,"L"
"193","1","s2","A","r2",0.4,"0",1,"L"
"194","1","s1","A","r1",0.444,"1",1,"L"
"195","1","s1","A","r1",0.452,"1",1,"L"
"196","1","s2","A","r2",0.444,"1",1,"L"
"197","1","s2","A","r1",0.598,"0",0,"L"
"198","1","s1","A","r1",0.44,"1",1,"L"
"199","1","s2","A","r2",0.529,"1",1,"L"
"200","1","s1","A","r1",0.438,"1",1,"L"
"201","1","s2","A","r2",0.565,"1",1,"L"
"202","1","s1","A","r1",0.522,"1",1,"L"
"203","1","s2","A","r2",0.367,"0",1,"L"
"204","1","s2","A","r1",0.412,"0",0,"L"
"205","1","s1","A","r1",0.342,"1",1,"L"
"206","1","s2","A","r2",0.547,"1",1,"L"
"207","1","s2","A","r2",0.361,"1",1,"L"
"208","1","s1","A","r1",0.359,"1",1,"L"
"209","1","s2","A","r2",0.339,"1",1,"L"
"210","1","s2","A","r2",0.385,"1",1,"L"
"211","1","s2","A","r2",0.335,"0",1,"L"
"212","1","s1","A","r2",0.366,"1",0,"L"
"213","1","s2","A","r2",0.297,"0",1,"L"
"214","1","s1","A","r1",0.408,"1",1,"L"
"215","1","s2","A","r2",0.402,"1",1,"L"
"216","1","s2","A","r2",0.398,"1",1,"L"
"217","1","s2","A","r2",0.331,"1",1,"L"
"218","1","s1","A","r2",0.394,"1",0,"L"
"219","1","s2","A","r2",0.404,"1",1,"L"
"220","1","s2","A","r2",0.497,"0",1,"L"
"221","1","s2","A","r2",0.441,"1",1,"L"
"222","1","s1","A","r1",0.403,"1",1,"L"
"223","1","s1","A","r1",0.429,"1",1,"L"
"224","1","s2","A","r2",0.438,"1",1,"L"
"225","1","s2","A","r2",0.417,"1",1,"L"
"226","1","s2","A","r2",0.38,"1",1,"L"
"227","1","s1","A","r1",0.473,"1",1,"L"
"228","1","s1","A","r1",0.48,"1",1,"L"
"229","1","s2","A","r2",0.519,"1",1,"L"
"230","1","s1","A","r1",0.51,"1",1,"L"
"231","1","s2","A","r2",0.548,"1",1,"L"
"232","1","s2","A","r2",0.49,"1",1,"L"
"233","1","s2","A","r2",0.419,"1",1,"L"
"234","1","s1","A","r1",0.414,"1",1,"L"
"235","1","s1","A","r1",0.472,"1",1,"L"
"236","1","s2","A","r1",0.463,"1",0,"L"
"237","1","s2","A","r2",0.536,"1",1,"L"
"238","1","s1","A","r1",0.463,"1",1,"L"
"239","1","s2","A","r2",0.406,"0",1,"L"
"240","1","s1","A","r1",0.514,"1",1,"L"
"241","1","s2","A","r2",0.424,"1",1,"L"
"242","1","s2","A","r2",0.386,"1",1,"L"
"243","1","s1","A","r1",0.495,"1",1,"L"
"244","1","s2","A","r2",0.404,"1",1,"L"
"245","1","s2","A","r2",0.513,"0",1,"L"
"246","1","s2","A","r1",0.584,"0",0,"L"
"247","1","s2","A","r2",0.426,"1",1,"L"
"248","1","s2","A","r2",0.501,"0",1,"L"
"249","1","s2","A","r2",0.525,"0",1,"L"
"250","1","s1","A","r1",0.484,"1",1,"L"
"251","1","s2","A","r2",1.018,"0",1,"L"
"252","1","s2","A","r2",0.542,"1",1,"L"
"253","1","s2","A","r2",0.436,"1",1,"L"
"254","1","s2","A","r2",0.345,"0",1,"L"
"255","1","s2","A","r2",0.555,"1",1,"L"
"256","1","s2","A","r2",0.448,"1",1,"L"
"257","1","s2","A","r2",0.459,"1",1,"L"
"258","1","s2","A","r2",0.584,"0",1,"L"
"259","1","s2","A","r2",0.355,"0",1,"L"
"260","1","s2","A","r2",0.589,"1",1,"L"
"261","1","s2","A","r2",0.411,"1",1,"L"
"262","1","s2","A","r2",0.442,"1",1,"L"
"263","1","s2","A","r2",0.483,"1",1,"L"
"264","1","s2","A","r2",0.7,"0",1,"L"
"265","1","s2","A","r2",0.443,"1",1,"L"
"266","1","s2","A","r2",0.405,"1",1,"L"
"267","1","s2","A","r2",0.386,"1",1,"L"
"268","1","s2","A","r2",0.415,"1",1,"L"
"269","1","s2","A","r2",0.442,"1",1,"L"
"270","1","s2","A","r2",0.588,"1",1,"L"
"271","1","s2","A","r2",0.416,"1",1,"L"
"272","1","s2","A","r2",0.412,"1",1,"L"
"273","1","s2","A","r2",0.422,"1",1,"L"
"274","1","s2","A","r2",0.546,"1",1,"L"
"275","1","s2","A","r2",0.76,"1",1,"L"
"276","1","s2","A","r2",0.852,"1",1,"L"
"277","1","s2","A","r2",0.775,"0",1,"L"
"278","1","s2","A","r2",0.546,"1",1,"L"
"279","1","s1","A","r1",1.03,"1",1,"L"
"280","1","s2","A","r2",0.533,"1",1,"L"
"281","1","s2","A","r2",0.411,"1",1,"L"
"282","1","s2","A","r2",0.343,"1",1,"L"
"283","1","s1","A","r1",0.469,"1",1,"L"
"284","1","s2","A","r2",0.38,"0",1,"L"
"285","1","s2","A","r2",0.394,"0",1,"L"
"286","1","s1","A","r1",0.422,"1",1,"L"
"287","1","s2","A","r1",0.639,"0",0,"L"
"288","1","s1","A","r1",0.479,"1",1,"L"
"289","1","s1","A","r1",0.422,"1",1,"L"
"290","1","s2","A","r1",0.495,"0",0,"L"
"291","1","s2","A","r2",0.533,"0",1,"L"
"292","1","s2","A","r2",0.412,"1",1,"L"
"293","1","s2","A","r2",0.375,"1",1,"L"
"294","1","s1","A","r1",0.452,"1",1,"L"
"295","1","s2","A","r1",0.492,"0",0,"L"
"296","1","s1","A","r1",0.451,"1",1,"L"
"297","1","s1","A","r1",0.443,"1",1,"L"
"298","1","s1","A","r1",0.42,"1",1,"L"
"299","1","s2","A","r2",0.445,"1",1,"L"
"300","1","s1","A","r1",0.487,"1",1,"L"
"301","1","s2","A","r2",0.558,"1",1,"L"
"302","1","s1","A","r1",0.451,"1",1,"L"
"303","1","s2","A","r2",0.363,"1",1,"L"
"304","1","s2","A","r1",0.441,"0",0,"L"
"305","1","s2","A","r2",0.449,"1",1,"L"
"306","1","s2","A","r2",0.539,"0",1,"L"
"307","1","s2","A","r2",0.401,"1",1,"L"
"308","1","s2","A","r2",0.365,"1",1,"L"
"309","1","s1","A","r1",0.442,"1",1,"L"
"310","1","s1","A","r1",0.531,"1",1,"L"
"311","1","s2","A","r1",0.439,"0",0,"L"
"312","1","s2","A","r2",0.48,"0",1,"L"
"313","1","s2","A","r1",0.393,"0",0,"L"
"314","1","s2","A","r2",0.371,"1",1,"L"
"315","1","s2","A","r1",0.432,"0",0,"L"
"316","1","s1","A","r1",0.491,"1",1,"L"
"317","1","s1","A","r1",0.433,"1",1,"L"
"318","1","s1","A","r1",0.394,"1",1,"L"
"319","1","s2","A","r2",0.42,"1",1,"L"
"320","1","s2","A","r2",0.464,"1",1,"L"
"321","1","s1","A","r1",0.425,"1",1,"L"
"322","1","s1","A","r1",0.499,"1",1,"L"
"323","1","s2","A","r2",0.425,"1",1,"L"
"324","1","s2","A","r2",0.372,"1",1,"L"
"325","1","s2","A","r2",0.369,"1",1,"L"
"326","1","s1","A","r1",0.415,"1",1,"L"
"327","1","s2","A","r1",0.441,"0",0,"L"
"328","1","s1","A","r1",0.449,"1",1,"L"
"329","1","s1","A","r1",0.601,"1",1,"L"
"330","1","s1","A","r1",0.459,"1",1,"L"
"331","1","s2","A","r1",0.402,"0",0,"L"
"332","1","s1","A","r1",0.492,"1",1,"L"
"333","1","s1","A","r1",0.385,"1",1,"L"
"334","1","s1","A","r1",0.38,"1",1,"L"
"335","1","s2","A","r2",0.487,"1",1,"L"
"336","1","s2","A","r2",0.464,"1",1,"L"
"337","1","s2","A","r2",0.377,"1",1,"L"
"338","1","s2","A","r2",0.502,"0",1,"L"
"339","1","s2","A","r2",0.398,"1",1,"L"
"340","1","s1","A","r1",0.459,"1",1,"L"
"341","1","s2","A","r2",0.435,"1",1,"L"
"342","1","s1","A","r1",0.653,"1",1,"L"
"343","1","s2","A","r2",0.397,"0",1,"L"
"344","1","s2","A","r2",0.425,"1",1,"L"
"345","1","s2","A","r2",0.548,"1",1,"L"
"346","1","s1","A","r1",0.49,"1",1,"L"
"347","1","s2","A","r2",0.416,"1",1,"L"
"348","1","s2","A","r2",0.411,"1",1,"L"
"349","1","s2","A","r2",0.407,"1",1,"L"
"350","1","s1","A","r1",0.466,"1",1,"L"
"351","1","s1","A","r1",0.506,"1",1,"L"
"352","1","s2","A","r2",0.496,"1",1,"L"
"353","1","s1","A","r1",0.423,"1",1,"L"
"354","1","s1","A","r2",0.369,"1",0,"L"
"355","1","s2","A","r2",0.381,"1",1,"L"
"356","1","s2","A","r2",0.41,"1",1,"L"
"357","1","s1","A","r1",0.469,"1",1,"L"
"358","1","s2","A","r1",0.557,"0",0,"L"
"359","1","s2","A","r2",0.559,"0",1,"L"
"360","1","s1","A","r1",0.42,"1",1,"L"
"361","1","s2","A","r2",0.51,"1",1,"L"
"362","1","s1","A","r1",0.453,"1",1,"L"
"363","1","s1","A","r2",0.541,"1",0,"L"
"364","1","s2","A","r2",0.369,"1",1,"L"
"365","1","s2","A","r1",0.431,"0",0,"L"
"366","1","s2","A","r1",0.44,"1",0,"L"
"367","1","s2","A","r2",0.434,"1",1,"L"
"368","1","s1","A","r1",0.397,"1",1,"L"
"369","1","s2","A","r2",0.391,"1",1,"L"
"370","1","s2","A","r2",0.419,"1",1,"L"
"371","1","s2","A","r2",0.399,"1",1,"L"
"372","1","s2","A","r2",0.411,"1",1,"L"
"373","1","s2","A","r2",0.487,"0",1,"L"
"374","1","s1","A","r1",0.592,"1",1,"L"
"375","1","s1","A","r1",0.402,"1",1,"L"
"376","1","s2","A","r2",0.444,"1",1,"L"
"377","1","s1","A","r1",0.454,"1",1,"L"
"378","1","s2","A","r2",0.638,"1",1,"L"
"379","1","s1","A","r1",0.653,"1",1,"L"
"380","1","s2","A","r2",0.364,"1",1,"L"
"381","1","s2","A","r2",0.474,"1",1,"L"
"382","1","s2","A","r2",0.386,"1",1,"L"
"383","1","s2","A","r2",0.367,"1",1,"L"
"384","1","s2","A","r2",0.349,"1",1,"L"
"385","1","s1","A","r1",0.396,"1",1,"L"
"386","1","s2","A","r2",0.438,"0",1,"L"
"387","1","s1","A","r1",0.543,"1",1,"L"
"388","1","s2","A","r2",0.531,"0",1,"L"
"389","1","s2","A","r1",0.521,"0",0,"L"
"390","1","s1","A","r1",0.511,"1",1,"L"
"391","1","s2","A","r2",0.5,"0",1,"L"
"392","1","s2","A","r1",0.636,"0",0,"L"
"393","1","s2","A","r2",0.476,"1",1,"L"
"394","1","s2","A","r2",0.564,"0",1,"L"
"395","1","s2","A","r2",0.425,"0",1,"L"
"396","1","s1","A","r1",0.452,"1",1,"L"
"397","1","s2","A","r2",0.411,"1",1,"L"
"398","1","s2","A","r2",0.374,"1",1,"L"
"399","1","s1","A","r1",0.516,"1",1,"L"
"400","1","s1","A","r1",0.456,"1",1,"L"
"401","1","s1","A","r1",0.479,"1",1,"L"
"402","1","s2","A","r2",0.437,"1",1,"L"
"403","1","s2","A","r2",0.512,"1",1,"L"
"404","1","s2","A","r2",0.52,"0",1,"L"
"405","1","s2","A","r2",0.51,"1",1,"L"
"406","1","s1","A","r1",0.517,"1",1,"L"
"407","1","s2","A","r2",0.49,"1",1,"L"
"408","1","s1","A","r1",0.418,"1",1,"L"
"409","1","s2","A","r2",0.492,"1",1,"L"
"410","1","s2","A","r2",0.42,"1",1,"L"
"411","1","s2","A","r2",0.351,"1",1,"L"
"412","1","s1","A","r1",0.494,"1",1,"L"
"413","1","s2","A","r2",0.5,"1",1,"L"
"414","1","s2","A","r2",0.428,"1",1,"L"
"415","1","s2","A","r2",0.359,"1",1,"L"
"416","1","s1","A","r1",0.468,"1",1,"L"
"417","1","s2","A","r1",0.508,"0",0,"L"
"418","1","s1","A","r1",0.577,"1",1,"L"
"419","1","s2","A","r2",0.5,"1",1,"L"
"420","1","s2","A","r2",0.396,"1",1,"L"
"421","1","s1","A","r1",0.456,"1",1,"L"
"422","1","s2","A","r2",0.576,"0",1,"L"
"423","1","s2","A","r1",0.516,"0",0,"L"
"424","1","s1","A","r1",0.457,"1",1,"L"
"425","1","s1","A","r1",0.465,"1",1,"L"
"426","1","s1","A","r1",0.361,"1",1,"L"
"427","1","s2","A","r1",0.452,"0",0,"L"
"428","1","s1","A","r1",0.524,"1",1,"L"
"429","1","s2","A","r1",1.073,"0",0,"L"
"430","1","s2","A","r2",0.414,"1",1,"L"
"431","1","s2","A","r2",0.361,"1",1,"L"
"432","1","s2","A","r2",0.359,"1",1,"L"
"433","1","s1","A","r2",0.389,"1",0,"L"
"434","1","s1","A","r1",0.415,"1",1,"L"
"435","1","s1","A","r1",0.457,"1",1,"L"
"436","1","s1","A","r1",0.512,"1",1,"L"
"437","1","s2","A","r2",0.406,"1",1,"L"
"438","1","s2","A","r2",0.498,"1",1,"L"
"439","1","s2","A","r2",0.442,"1",1,"L"
"440","1","s2","A","r1",0.468,"0",0,"L"
"441","1","s2","A","r2",0.363,"0",1,"L"
"442","1","s2","A","r1",0.409,"0",0,"L"
"443","1","s2","A","r2",0.435,"0",1,"L"
"444","1","s1","A","r1",0.398,"1",1,"L"
"445","1","s1","A","r1",0.376,"1",1,"L"
"446","1","s2","A","r2",0.452,"1",1,"L"
"447","1","s2","A","r2",0.398,"1",1,"L"
"448","1","s1","A","r1",0.378,"1",1,"L"
"449","1","s1","A","r1",0.452,"1",1,"L"
"450","1","s2","A","r2",0.396,"1",1,"L"
"451","1","s2","A","r1",0.425,"1",0,"L"
"452","1","s2","A","r1",0.484,"0",0,"L"
"453","1","s1","A","r1",0.41,"1",1,"L"
"454","1","s2","A","r2",0.676,"0",1,"L"
"455","1","s2","A","r2",0.612,"0",1,"L"
"456","1","s2","A","r2",0.566,"0",1,"L"
"457","1","s1","A","r1",0.556,"1",1,"L"
"458","1","s2","A","r2",0.446,"1",1,"L"
"459","1","s2","A","r1",0.521,"0",0,"L"
"460","1","s1","A","r1",0.43,"1",1,"L"
"461","1","s2","A","r2",0.614,"1",1,"L"
"462","1","s2","A","r2",0.457,"1",1,"L"
"463","1","s1","A","r1",0.435,"1",1,"L"
"464","1","s2","A","r1",0.443,"0",0,"L"
"465","1","s1","A","r2",0.403,"1",0,"L"
"466","1","s1","A","r1",0.494,"1",1,"L"
"467","1","s2","A","r2",0.595,"1",1,"L"
"468","1","s2","A","r2",0.391,"1",1,"L"
"469","1","s2","A","r2",0.419,"1",1,"L"
"470","1","s1","A","r2",0.463,"1",0,"L"
"471","1","s2","A","r2",0.598,"0",1,"L"
"472","1","s2","A","r1",0.522,"0",0,"L"
"473","1","s1","A","r1",0.495,"1",1,"L"
"474","1","s1","A","r1",0.469,"1",1,"L"
"475","1","s2","A","r2",0.508,"0",1,"L"
"476","1","s2","A","r2",0.451,"1",1,"L"
"477","1","s2","A","r2",0.477,"1",1,"L"
"478","1","s1","A","r1",0.534,"1",1,"L"
"479","1","s1","A","r1",0.849,"1",1,"L"
"480","1","s1","A","r1",0.471,"1",1,"L"
"481","1","s2","A","r2",0.462,"1",1,"L"
"482","1","s2","A","r2",0.407,"1",1,"L"
"483","1","s2","A","r2",0.467,"0",1,"L"
"484","1","s1","A","r1",0.461,"1",1,"L"
"485","1","s2","A","r2",0.372,"0",1,"L"
"486","1","s2","A","r2",0.415,"1",1,"L"
"487","1","s2","A","r2",0.427,"1",1,"L"
"488","1","s2","A","r1",0.358,"1",0,"L"
"489","1","s2","A","r2",0.42,"1",1,"L"
"490","1","s1","A","r1",0.462,"1",1,"L"
"491","1","s1","A","r1",0.551,"1",1,"L"
"492","1","s2","A","r2",0.489,"1",1,"L"
"493","1","s1","A","r1",0.498,"1",1,"L"
"494","1","s2","A","r2",0.504,"1",1,"L"
"495","1","s1","A","r1",0.464,"1",1,"L"
"496","1","s2","A","r2",0.455,"1",1,"L"
"497","1","s1","A","r1",0.464,"1",1,"L"
"498","1","s1","A","r1",0.456,"1",1,"L"
"499","1","s2","A","r2",0.464,"1",1,"L"
"500","1","s2","A","r2",1.033,"1",1,"L"
"501","1","s2","A","r1",0.554,"0",0,"L"
"502","1","s2","A","r2",0.56,"1",1,"L"
"503","1","s2","A","r2",0.373,"1",1,"L"
"504","1","s2","A","r2",0.482,"0",1,"L"
"505","1","s1","A","r1",0.49,"1",1,"L"
"506","1","s2","A","r2",0.481,"1",1,"L"
"507","1","s2","A","r2",0.426,"1",1,"L"
"508","1","s1","A","r1",0.581,"1",1,"L"
"509","1","s2","A","r1",0.551,"0",0,"L"
"510","1","s2","A","r1",0.506,"0",0,"L"
"511","1","s1","A","r1",0.608,"1",1,"L"
"512","1","s1","A","r1",0.482,"1",1,"L"
"513","1","s2","A","r1",0.504,"0",0,"L"
"514","1","s1","A","r1",0.398,"1",1,"L"
"515","1","s1","A","r1",0.376,"1",1,"L"
"516","1","s1","A","r1",0.532,"1",1,"L"
"517","1","s2","A","r2",0.456,"1",1,"L"
"518","1","s2","A","r2",0.482,"1",1,"L"
"519","1","s2","A","r2",0.459,"0",1,"L"
"520","1","s2","A","r2",0.42,"1",1,"L"
"521","1","s2","A","r2",0.432,"1",1,"L"
"522","1","s1","A","r1",0.475,"1",1,"L"
"523","1","s1","A","r1",0.626,"1",1,"L"
"524","1","s2","A","r1",0.467,"0",0,"L"
"525","1","s1","A","r1",0.474,"1",1,"L"
"526","1","s2","A","r1",0.593,"0",0,"L"
"527","1","s2","A","r2",0.532,"0",1,"L"
"528","1","s1","A","r1",0.474,"1",1,"L"
"529","1","s1","A","r1",0.545,"1",1,"L"
"530","1","s1","A","r1",0.532,"1",1,"L"
"531","1","s2","A","r2",0.505,"0",1,"L"
"532","1","s1","A","r1",0.625,"1",1,"L"
"533","1","s2","A","r2",0.513,"0",1,"L"
"534","1","s1","A","r1",0.553,"1",1,"L"
"535","1","s1","A","r1",0.732,"1",1,"L"
"536","1","s2","A","r2",0.647,"0",1,"L"
"537","1","s2","A","r1",0.889,"0",0,"L"
