UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,-1,1,0,1000,3383,9:50:48,9:50:52,1,,4/4/2016
2,0,defaultGroupID,Desert Study,-1,1,0,1000,3377,9:50:52,9:50:56,1,,4/4/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,3326,9:50:56,9:51:1,1,,4/4/2016
4,0,defaultGroupID,Desert Study,3703,0,1,1000,4985,9:51:1,9:51:7,1,,4/4/2016
5,0,defaultGroupID,Desert Study,-1,1,0,1000,4635,9:51:7,9:51:12,1,,4/4/2016
6,0,defaultGroupID,Desert Study,-1,1,0,1000,3063,9:51:12,9:51:16,1,,4/4/2016
7,0,defaultGroupID,Desert Study,-1,1,0,1000,4443,9:51:16,9:51:22,1,,4/4/2016
8,0,defaultGroupID,Desert Study,-1,1,0,1000,4672,9:51:22,9:51:27,1,,4/4/2016
9,0,defaultGroupID,Desert Study,613,0,1,1000,4846,9:51:27,9:51:33,1,,4/4/2016
10,0,defaultGroupID,Desert Study,-1,1,0,1000,3956,9:51:33,9:51:38,1,,4/4/2016
11,1,defaultGroupID,Desert Study,732,0,1,1000,3215,9:51:52,9:51:55,0,,4/4/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,4502,9:51:55,9:52:1,0,,4/4/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,4313,9:52:1,9:52:6,0,,4/4/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,9:52:6,9:52:12,0,,4/4/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,4652,9:52:12,9:52:18,0,,4/4/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,4157,9:52:18,9:52:23,0,,4/4/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3013,9:52:23,9:52:27,0,,4/4/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4736,9:52:27,9:52:33,0,,4/4/2016
19,1,defaultGroupID,Desert Study,533,0,1,1000,3882,9:52:33,9:52:37,0,,4/4/2016
20,1,defaultGroupID,Desert Study,589,0,1,1000,4210,9:52:37,9:52:42,0,,4/4/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,9:52:42,9:52:46,0,,4/4/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,4344,9:52:46,9:52:52,0,,4/4/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3048,9:52:52,9:52:56,0,,4/4/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,9:52:56,9:53:0,0,,4/4/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,3675,9:53:0,9:53:4,0,,4/4/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,4380,9:53:4,9:53:10,0,,4/4/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,9:53:10,9:53:14,0,,4/4/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3418,9:53:14,9:53:19,0,,4/4/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,3930,9:53:19,9:53:24,0,,4/4/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4882,9:53:24,9:53:29,0,,4/4/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3131,9:53:29,9:53:34,0,,4/4/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3753,9:53:34,9:53:38,0,,4/4/2016
33,1,defaultGroupID,Desert Study,512,0,1,1000,4661,9:53:38,9:53:44,0,,4/4/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4154,9:53:44,9:53:49,0,,4/4/2016
35,1,defaultGroupID,Desert Study,437,0,1,1000,3599,9:53:49,9:53:53,0,,4/4/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,3197,9:53:53,9:53:57,0,,4/4/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,4302,9:53:57,9:54:3,0,,4/4/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,4657,9:54:3,9:54:8,0,,4/4/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,4150,9:54:8,9:54:13,0,,4/4/2016
40,1,defaultGroupID,Desert Study,529,0,1,1000,3089,9:54:13,9:54:17,0,,4/4/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,3720,9:54:17,9:54:22,0,,4/4/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,4299,9:54:22,9:54:27,0,,4/4/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,4305,9:54:27,9:54:32,0,,4/4/2016
44,1,defaultGroupID,Desert Study,506,0,1,1000,3570,9:54:32,9:54:36,0,,4/4/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,3611,9:54:36,9:54:41,0,,4/4/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,9:54:41,9:54:45,0,,4/4/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,4782,9:54:45,9:54:51,0,,4/4/2016
48,1,defaultGroupID,Desert Study,455,0,1,1000,4709,9:54:51,9:54:56,0,,4/4/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,4851,9:54:56,9:55:2,0,,4/4/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,4133,9:55:2,9:55:7,0,,4/4/2016
51,1,defaultGroupID,Desert Study,405,0,1,1000,4833,9:55:7,9:55:13,0,,4/4/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,3032,9:55:13,9:55:17,0,,4/4/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,3304,9:55:17,9:55:21,0,,4/4/2016
