FollowBall,1489343193751,1099.16834706853,1097.82941176471
FollowBall,1489343193782,1099.49068040187,1097.82941176471
FollowBall,1489343193814,1099.8130137352,1097.82941176471
FollowBall,1489343193845,1100.13534706853,1097.82941176471
FollowBall,1489343193876,1100.45768040187,1097.82941176471
FollowBall,1489343193907,1100.7800137352,1097.82941176471
FollowBall,1489343193939,1101.10234706853,1097.95581699346
FollowBall,1489343193970,1101.42468040187,1097.95581699346
FollowBall,1489343194001,1101.7470137352,1097.95581699346
FollowBall,1489343194032,1102.06934706853,1097.95581699346
FollowBall,1489343194064,1102.39168040187,1097.95581699346
FollowBall,1489343194095,1102.7140137352,1098.08222222222
FollowBall,1489343194126,1103.03634706853,1098.08222222222
FollowBall,1489343194157,1103.35868040187,1098.08222222222
FollowBall,1489343194189,1103.6810137352,1098.08222222222
FollowBall,1489343194220,1104.00334706853,1098.08222222222
FollowBall,1489343194252,1104.32568040187,1098.08222222222
FollowBall,1489343194283,1104.6480137352,1098.08222222222
FollowBall,1489343194314,1104.97034706853,1098.20862745098
FollowBall,1489343194346,1105.29268040187,1098.20862745098
FollowBall,1489343194377,1105.6150137352,1098.33503267974
FollowBall,1489343194408,1105.93734706853,1098.33503267974
FollowBall,1489343194439,1106.25968040187,1098.4614379085
FollowBall,1489343194471,1106.5820137352,1098.58784313725
FollowBall,1489343194502,1106.90434706853,1098.71424836601
FollowBall,1489343194533,1107.22668040187,1098.84065359477
FollowBall,1489343194564,1107.5490137352,1099.09346405229
FollowBall,1489343194596,1107.87134706853,1099.3462745098
FollowBall,1489343194627,1108.19368040187,1099.85189542484
FollowBall,1489343194658,1108.5160137352,1104.78169934641
FollowBall,1489343194689,1108.83834706853,1104.78169934641
FollowBall,1489343194721,1109.16068040187,1104.78169934641
FollowBall,1489343194752,1109.4830137352,1104.78169934641
FollowBall,1489343194783,1109.80534706853,1104.78169934641
FollowBall,1489343194814,1110.12768040187,1104.90810457516
FollowBall,1489343194846,1110.4500137352,1105.16091503268
FollowBall,1489343194877,1110.77234706853,1105.66653594771
FollowBall,1489343194908,1111.09468040187,1106.17215686275
FollowBall,1489343194939,1111.4170137352,1106.55137254902
FollowBall,1489343194971,1111.73934706853,1106.93058823529
FollowBall,1489343195002,1112.06168040187,1107.05699346405
FollowBall,1489343195033,1112.3840137352,1107.05699346405
FollowBall,1489343195064,1112.70634706853,1107.05699346405
FollowBall,1489343195096,1113.02868040187,1107.18339869281
FollowBall,1489343195127,1113.3510137352,1107.18339869281
FollowBall,1489343195158,1113.67334706853,1107.18339869281
FollowBall,1489343195189,1113.99568040187,1107.18339869281
FollowBall,1489343195221,1114.3180137352,1107.18339869281
FollowBall,1489343195252,1114.64034706853,1107.30980392157
FollowBall,1489343195283,1114.96268040187,1107.56261437909
FollowBall,1489343195314,1115.2850137352,1107.94183006536
FollowBall,1489343195346,1115.60734706853,1108.44745098039
FollowBall,1489343195377,1115.92968040187,1109.3322875817
FollowBall,1489343195408,1116.2520137352,1110.21712418301
FollowBall,1489343195439,1116.57434706853,1110.97555555556
FollowBall,1489343195471,1116.89668040187,1111.60758169935
FollowBall,1489343195502,1117.2190137352,1112.11320261438
FollowBall,1489343195533,1117.54134706853,1112.49241830065
FollowBall,1489343195564,1117.86368040187,1112.74522875817
FollowBall,1489343195596,1118.1860137352,1112.99803921569
FollowBall,1489343195627,1118.50834706853,1113.12444444444
FollowBall,1489343195658,1118.83068040187,1113.37725490196
FollowBall,1489343195689,1119.1530137352,1113.50366013072
FollowBall,1489343195721,1119.47534706853,1113.63006535948
FollowBall,1489343195752,1119.79768040187,1113.63006535948
FollowBall,1489343195784,1120.1200137352,1113.75647058824
FollowBall,1489343195815,1120.44234706853,1113.75647058824
FollowBall,1489343195846,1120.76468040187,1113.75647058824
FollowBall,1489343195877,1121.0870137352,1113.88287581699
FollowBall,1489343195909,1121.40934706853,1114.00928104575
FollowBall,1489343195940,1121.73168040187,1114.26209150327
FollowBall,1489343195971,1122.0540137352,1114.7677124183
FollowBall,1489343196002,1122.37634706853,1115.39973856209
FollowBall,1489343196034,1122.69868040187,1116.41098039216
FollowBall,1489343196065,1123.0210137352,1117.29581699346
FollowBall,1489343196096,1123.34334706853,1118.43346405229
FollowBall,1489343196127,1123.66568040187,1119.57111111111
FollowBall,1489343196159,1123.9880137352,1120.45594771242
FollowBall,1489343196190,1124.31034706853,1121.21437908497
FollowBall,1489343196221,1124.63268040187,1121.46718954248
FollowBall,1489343196252,1124.9550137352,1121.72
FollowBall,1489343196284,1125.27734706853,1121.84640522876
FollowBall,1489343196315,1125.59968040187,1121.97281045752
FollowBall,1489343196346,1125.9220137352,1121.97281045752
FollowBall,1489343196377,1126.24434706853,1122.09921568627
FollowBall,1489343196409,1126.56668040187,1122.22562091503
FollowBall,1489343196440,1126.8890137352,1122.47843137255
FollowBall,1489343196471,1127.21134706853,1122.73124183007
FollowBall,1489343196502,1127.53368040187,1122.73124183007
FollowBall,1489343196534,1127.8560137352,1123.11045751634
FollowBall,1489343196565,1128.17834706853,1123.48967320261
FollowBall,1489343196596,1128.50068040187,1123.99529411765
FollowBall,1489343196628,1128.8230137352,1124.37450980392
FollowBall,1489343196659,1129.14534706853,1124.7537254902
FollowBall,1489343196690,1129.46768040187,1125.13294117647
FollowBall,1489343196721,1129.7900137352,1125.51215686275
FollowBall,1489343196753,1130.11234706853,1125.76496732026
FollowBall,1489343196784,1130.43468040187,1125.89137254902
FollowBall,1489343196815,1130.7570137352,1126.01777777778
FollowBall,1489343196846,1131.07934706853,1126.14418300654
