sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
20g,1,26963,1,10,O,green,OoCQoCQCoQ,1,1,908,1738
20g,2,30506,1,10,O,green,OQCoCQoCQo,1,1,2731,1826
20g,3,35960,1,10,O,green,OQCoQoCoCQ,1,1,1874,1178
20g,4,39906,1,10,O,green,OCQoQCoQCo,0,1,1444,3485
20g,5,45751,1,10,O,green,OCQoCQoCQo,1,1,4493,576
20g,6,51708,0,10,O,green,oQCoCQCQoC,0,1,1966,4196
20g,7,58815,0,10,O,green,oCQoCQoCQo,0,1,1013,3019
20g,8,63735,0,10,O,green,oCQCoQCoQo,0,1,1426,538
20g,9,66589,0,10,O,green,QoCoQCoCQC,0,1,5133,677
20g,10,73278,0,10,O,green,oQCoCQoCQC,0,1,2176,3113
20g,11,79460,0,10,O,green,QoCoCQoCQo,0,1,1499,579
20g,12,82435,0,10,O,green,CoQoCQCoQo,0,1,6236,6866
20g,13,96429,1,10,O,green,OCQoQCoQCo,1,1,1768,516
20g,14,99594,0,10,O,green,oQCQoCQoCQ,8,0,3233,640
20g,15,104390,0,10,O,green,CQoCoQCoQC,0,1,3358,1445
20g,16,110100,1,10,O,green,OoCQoCQCoQ,1,1,1108,570
20g,17,112699,0,10,O,green,oCQCoQCoQC,0,1,3632,520
20g,18,117755,0,10,O,green,oCQCoQoQCo,0,1,4852,483
20g,19,124009,0,10,O,green,QoCQoCoCQC,0,1,1449,553
20g,20,126895,0,10,O,green,oQCQoCoQCQ,0,1,3124,546
20g,21,131475,0,10,O,green,CQoCQoQoCQ,0,1,4044,509
20g,22,136920,1,10,O,green,OQoCQoCoQC,1,1,915,1497
20g,23,140214,1,10,O,green,OCQoCQoCQo,1,1,1879,466
20g,24,143448,1,10,O,green,OQoCoQCoCQ,1,1,2791,730
20g,25,147864,1,10,O,green,OCoQCoQoQC,1,1,3613,985
20g,26,153369,1,10,O,green,OCoQoQCoQC,1,1,3525,492
20g,27,158275,0,10,O,green,QCoQCoQCoC,0,1,1188,565
20g,28,160942,0,10,O,green,QoCoCQCQoQ,0,1,7189,2789
20g,29,171814,0,10,O,green,oQCQoCoQCo,0,1,1776,3079
20g,30,177556,1,10,O,green,OCoQoCQoCQ,1,1,966,533
20g,31,186047,1,10,O,green,OoCQoCQCQo,1,1,1013,539
20g,32,188538,1,10,O,green,OoCQCoQoQC,1,1,1440,482
20g,33,191341,1,10,O,green,OoCQoCQCoQ,1,1,940,706
20g,34,193867,0,10,O,green,CoQoQCoQCQ,0,1,2861,610
20g,35,198239,0,10,O,green,QoCQoCQoCo,0,1,980,510
20g,36,200664,1,10,O,green,OoQCoQCoCQ,0,1,948,4695
20g,37,207204,1,10,O,green,OCQoCoQoCQ,1,1,830,457
20g,38,209408,1,10,O,green,OoCQoQCoCQ,1,1,873,993
20g,39,212156,1,10,O,green,OoQCoQCQoC,1,1,215,1216
20g,40,214488,0,10,O,green,oQCoQCoCQo,0,1,1173,466
20g,1,22117,1,10,O,green,OQCoCoQCQo,1,1,1503,420
20g,2,24921,0,10,O,green,CoQCoQCQoQ,0,1,2020,496
20g,3,28329,1,10,O,green,OQCoCQoCoQ,1,1,1770,532
20g,4,31536,1,10,O,green,OCoQCoQCQo,1,1,1758,503
20g,5,34723,0,10,O,green,CQoQCoQCoQ,0,1,1372,1579
20g,6,38558,1,10,O,green,OQCoCQoCQo,1,1,1422,510
20g,7,41391,0,10,O,green,CoQoQCQCoQ,0,1,3384,441
20g,8,46139,0,10,O,green,QoCoCQoCQo,0,1,1269,542
20g,9,48845,1,10,O,green,OoQCoQCQoC,1,1,2437,473
20g,10,52680,0,10,O,green,CoQCoQCQoC,0,1,2587,457
20g,11,56619,1,10,O,green,OQCoCQoCQo,1,1,4113,3740
20g,12,65364,0,10,O,green,QCoQCoQCoQ,0,1,1185,785
20g,13,68241,0,10,O,green,oQCQCoCoQC,0,1,4074,494
20g,14,73709,1,10,O,green,OoCQCoQoCQ,1,1,2107,451
20g,15,77178,1,10,O,green,OQCoCoQCQo,1,1,935,2372
20g,16,81391,1,10,O,green,OoCQoQCQoC,1,1,4667,903
20g,17,87844,1,10,O,green,OoCQCQoQoC,1,1,2541,549
20g,18,91842,0,10,O,green,oQCoCQoQCo,0,1,771,5625
20g,19,99156,1,10,O,green,OoQCoQCQoC,1,1,978,562
20g,20,101594,1,10,O,green,OCoQCoQCQo,0,1,2780,5646
20g,21,110923,1,10,O,green,OoQCoCQCoQ,1,1,1499,604
20g,22,113915,1,10,O,green,OQoCoQCQoC,1,1,1276,518
20g,23,116605,1,10,O,green,OCoQoCQCQo,1,1,1508,552
20g,24,119537,0,10,O,green,QCoCoQoCQo,0,1,3806,448
20g,25,124699,0,10,O,green,QCoQCoCQoC,0,1,1157,596
20g,26,127416,0,10,O,green,oCQCQoQCoC,0,1,3403,475
20g,27,132208,0,10,O,green,oCQoCQoCQC,0,1,6174,503
20g,28,139775,0,10,O,green,CQoCQoQoCQ,0,1,1066,494
20g,29,142241,0,10,O,green,CoQCoQoCQo,0,1,1138,926
20g,30,145188,1,10,O,green,OCoQCQoQCo,1,1,1696,602
20g,31,150777,1,10,O,green,OoCQoCQCoQ,1,1,881,439
20g,32,153027,0,10,O,green,QCoQCoCoQC,0,1,1783,470
20g,33,156214,0,10,O,green,CQoCQoQCoC,0,1,909,2476
20g,34,160535,0,10,O,green,CQoCQoQoCQ,0,1,1531,479
20g,35,163449,0,10,O,green,oCQoQCQCoC,0,1,970,398
20g,36,165708,0,10,O,green,QCoQCoQCoC,0,1,3142,534
20g,37,170273,0,10,O,green,oCQoCQCQoQ,0,1,906,421
20g,38,172503,1,10,O,green,OCoQoCQoCQ,1,1,1247,512
20g,39,175148,1,10,O,green,OoCQoQCQoC,0,1,1440,989
20g,40,178494,1,10,O,green,OCQoCoQCoQ,1,1,900,710
20g,1,18696,1,10,O,green,OCQoQoCQCo,1,1,1610,564
20g,2,21794,1,10,O,green,OQCoQoCoQC,1,1,974,417
20g,3,24083,0,10,O,green,CoQCoQCoQo,0,1,849,449
20g,4,26271,0,10,O,green,oCQoCQCQoC,0,1,1611,4003
20g,5,32759,1,10,O,green,OQCoQCoQoC,1,1,1259,869
20g,6,35833,0,10,O,green,QoCoQCoQCQ,0,1,764,744
20g,7,38218,0,10,O,green,QCoQCoQCoQ,0,1,1065,768
20g,8,40936,1,10,O,green,OQoCoCQoCQ,1,1,974,1970
20g,9,44754,0,10,O,green,QCoCQoQoCo,0,1,737,585
20g,10,46969,1,10,O,green,OCQoQCoCQo,1,1,913,775
20g,11,49554,1,10,O,green,OCQoCoQCQo,1,1,970,549
20g,12,51992,0,10,O,green,QoCQoCQCoC,0,1,1258,481
20g,13,54674,0,10,O,green,CQoQCoQCoQ,0,1,808,611
20g,14,57021,1,10,O,green,OoCQoCQCQo,1,1,911,482
20g,15,59335,0,10,O,green,QCoCQoQCoQ,0,1,1217,614
20g,16,62054,0,10,O,green,QoCoQCoCQC,0,1,894,615
20g,17,64463,1,10,O,green,OQoCoQCoCQ,1,1,979,561
20g,18,66895,1,10,O,green,OCQoCoQoQC,1,1,962,1163
20g,19,69924,0,10,O,green,QCoCQoCQoQ,0,1,1183,542
20g,20,72543,0,10,O,green,CQoCoQoQCo,0,1,848,608
20g,21,74881,0,10,O,green,QCoQoCoQCQ,0,1,1110,516
20g,22,77390,1,10,O,green,OQoCoCQoQC,1,1,917,477
20g,23,79669,0,10,O,green,QoCQCoQCoC,0,1,902,1006
20g,24,82460,1,10,O,green,OoCQCoQoCQ,1,1,899,295
20g,25,84564,1,10,O,green,OoCQCoQoCQ,0,1,810,4826
20g,26,91101,0,10,O,green,CoQoCQoQCQ,0,1,769,841
20g,27,93603,1,10,O,green,OoQCoQCQoC,1,1,960,483
20g,28,95947,0,10,O,green,oQCoQCQCoC,0,1,693,555
20g,29,98095,0,10,O,green,QoCoCQCQoQ,0,1,1091,579
20g,30,100671,1,10,O,green,OQCoQoCoCQ,1,1,816,1452
20g,31,107357,1,10,O,green,OQCoCQoQoC,1,1,904,1664
20g,32,110840,1,10,O,green,OoQCoQCoCQ,1,1,92,1075
20g,33,112886,0,10,O,green,oQCoQCQCoC,0,1,835,599
20g,34,115211,1,10,O,green,OoQCQCoQoC,1,1,784,432
20g,35,117319,0,10,O,green,CoQCQoQCoQ,0,1,56,1794
20g,36,120044,0,10,O,green,CQoCoQoCQC,0,1,913,519
20g,37,122364,1,10,O,green,OoQCoCQCoQ,1,1,903,261
20g,38,124407,1,10,O,green,OQCoCQoQoC,1,1,868,350
20g,39,126524,1,10,O,green,OCQoCoQCoQ,1,1,808,285
20g,40,128510,0,10,O,green,CoQoQCQCoQ,0,1,917,429
20g,1,24420,0,10,O,green,oCQoCQoQCo,0,1,871,1481
20g,2,27654,1,10,O,green,OoCQCQoCQo,1,1,935,604
20g,3,30082,0,10,O,green,CoQoCQCoQC,0,1,938,1210
20g,4,33125,1,10,O,green,OCQoCQoCQo,1,1,1294,565
20g,5,35879,1,10,O,green,OQoCQCoCQo,1,1,1584,655
20g,6,39025,0,10,O,green,oCQCQoQCoQ,0,1,1567,733
20g,7,42241,1,10,O,green,OCoQoCQoCQ,1,1,711,1166
20g,8,45003,1,10,O,green,OCQoCQoCoQ,1,1,782,409
20g,9,47085,1,10,O,green,OoCQoCQCQo,1,1,782,439
