sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
38p,1,12145,1,10,O,green,OQoCoCQoCQ,1,1,13937,6464
38p,2,33443,0,10,O,white,CQoQCoCQoQ,0,1,19217,1343
38p,3,54887,1,10,O,green,OCoQoCQCoQ,1,1,2750,906
38p,4,59464,0,10,O,green,QoCQCoCQoC,0,1,4030,514
38p,5,64944,0,10,O,white,QoCQoCoQCQ,0,1,3492,413
38p,6,69771,1,10,O,green,OoQCoCQCQo,1,1,704,375
38p,7,71756,1,10,O,green,OCoQoQCQCo,1,1,493,325
38p,8,73468,0,10,O,green,QCoQCoCQoQ,0,1,1210,421
38p,9,75988,1,10,O,white,OCoQCQoQCo,1,1,13912,1307
38p,10,92124,1,10,O,white,OQCoCQoQoC,0,1,949,949
38p,11,94944,0,10,O,white,CoQoCQCoQo,0,1,2344,555
38p,12,98752,0,10,O,green,CQoQoCoCQo,0,1,2328,840
38p,13,102810,1,10,O,green,OoCQoCQoCQ,1,1,2164,709
38p,14,106593,1,10,O,white,OoCQoQCoQC,1,1,1979,576
38p,15,110059,1,10,O,white,OQCoCoQoQC,1,1,1580,1451
38p,16,114038,0,10,O,green,CoQCQoQCoQ,0,1,1396,903
38p,17,117260,0,10,O,green,CQoCoQoCQo,0,1,1584,1020
38p,18,120747,1,10,O,white,OoCQoCQoCQ,1,1,1721,1382
38p,19,124742,1,10,O,white,OQoCoCQCoQ,0,1,1894,938
38p,20,128482,0,10,O,white,oCQCoQoCQC,0,1,1659,912
38p,21,131962,1,10,O,white,OQCoQCoQoC,1,1,1778,624
38p,22,135278,0,10,O,white,QCoCoQoQCQ,0,1,2532,1060
38p,23,139792,1,10,O,green,OoCQCQoCQo,1,1,1454,610
38p,24,142776,1,10,O,white,OQCoCQoCQo,1,1,1666,1193
38p,25,146542,0,10,O,white,oQCQCoCoQo,0,1,1596,867
38p,26,149902,1,10,O,green,OQCoCQoCQo,6,0,1560,4350
38p,27,156720,0,10,O,white,QoCoQCQoCo,0,1,3078,905
38p,28,161628,0,10,O,white,oQCoQCQoCo,0,1,1620,672
38p,29,164848,0,10,O,green,oCQCQoCoQC,0,1,3244,712
38p,30,169764,0,10,O,green,oQCoCQCQoQ,0,1,2048,721
38p,31,176922,0,10,O,white,QoCQoCQoCo,0,1,2929,3029
38p,32,183817,1,10,O,green,OCoQCQoCQo,1,1,1326,505
38p,33,186541,1,10,O,green,OCoQCQoCoQ,1,1,880,450
38p,34,188763,1,10,O,white,OCQoQCoCQo,0,1,2782,784
38p,35,193290,0,10,O,green,CoQoCQCQoC,0,1,2513,748
38p,36,197458,1,10,O,green,OQCoQCoCQo,1,1,1285,461
38p,37,200095,1,10,O,white,OCQoQCoQoC,1,1,2102,528
38p,38,203649,0,10,O,green,QoCoCQCoQC,0,1,1963,815
38p,39,207322,0,10,O,green,CoQCoQCoQC,0,1,2873,549
38p,40,211630,0,10,O,white,QCoCQoQoCo,0,1,4970,653
