sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
29m,28,116699,0,10,O,white,oCQCoQoCQC,0,1,2036,588
29m,29,120231,1,10,O,white,OQoCQoCQoC,1,1,1040,66
29m,30,122246,1,10,O,green,OQoCQoCQCo,0,1,2941,483
29m,31,128980,0,10,O,green,oCQCoQCoQC,0,1,662,601
29m,32,131176,1,10,O,green,OCQoQoCoCQ,1,1,1197,60
29m,33,133329,0,10,O,white,QCoCQoQoCQ,0,1,3689,738
29m,34,138675,0,10,O,green,CoQCoQoCQo,0,1,782,486
29m,35,140844,1,10,O,green,OQCoCoQoCQ,1,1,704,62
29m,36,142517,1,10,O,green,OQoCQoCoQC,1,1,825,70
29m,37,144305,0,10,O,green,QoCQoCQoCQ,0,1,1188,431
29m,38,146816,1,10,O,green,OoQCoQCoCQ,1,1,866,43
29m,39,148652,0,10,O,white,QCoQoCoQCo,0,1,746,1126
29m,40,151403,1,10,O,white,OoQCoQCoCQ,1,1,1324,71
