sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
27p,1,13630,0,10,O,white,oCQCQoCQoQ,0,1,18040,8578
27p,2,41134,0,10,O,white,QoCoCQoCQo,0,1,6028,1268
27p,3,49327,0,10,O,white,CQoCQoCoQC,0,1,3732,465
27p,4,54422,1,10,O,green,OQCoCQoCQo,1,1,5008,638
27p,5,60963,1,10,O,white,OoQCoCQCQo,1,1,7368,1029
27p,6,70293,1,10,O,green,OQoCoCQoQC,1,1,965,1978
27p,7,74155,1,10,O,green,OQCoCQoCoQ,1,1,1858,2131
27p,8,79080,0,10,O,green,QCoQCoQoCQ,0,1,1887,608
27p,9,82466,1,10,O,white,OoQCQoCoCQ,1,1,1738,671
27p,10,85781,0,10,O,green,QCoCoQoCQC,0,1,1034,750
27p,11,88466,1,10,O,white,OCQoCQoCoQ,1,1,2187,539
27p,12,92089,0,10,O,white,CQoQCoQoCo,0,1,2547,807
27p,13,96352,1,10,O,green,OQoCQoCoQC,1,1,752,646
27p,14,98666,1,10,O,white,OoQCoCQoCQ,1,1,977,1146
27p,15,101678,1,10,O,white,OQCoQCoCQo,1,1,1481,644
27p,16,104711,0,10,O,white,QCoCoQCoQC,0,1,3175,595
27p,17,109370,0,10,O,green,CoQoQCoQCQ,0,1,1020,580
27p,18,111859,1,10,O,green,OQCoCoQCoQ,1,1,764,525
27p,19,114059,1,10,O,green,OCoQCoQCQo,1,1,576,545
27p,20,116071,1,10,O,white,OQCoQCoQCo,1,1,807,552
27p,21,118362,1,10,O,green,OCQoQCoQoC,1,1,690,641
27p,22,120573,1,10,O,green,OoQCoCQoCQ,1,1,804,567
27p,23,122849,0,10,O,green,QCoCQoCoQC,0,1,685,561
27p,24,125031,0,10,O,white,QoCoQCoCQo,0,1,1977,608
27p,25,128500,0,10,O,green,CoQoCQCQoC,0,1,938,624
27p,26,130975,0,10,O,green,CQoQCoQoCQ,0,1,751,600
27p,27,133252,1,10,O,white,OQCoCoQoCQ,1,1,1370,580
27p,28,136134,1,10,O,white,OCQoQoCoQC,1,1,1217,596
27p,29,138867,0,10,O,white,oQCoQCQoCo,0,1,1725,694
27p,30,142195,0,10,O,white,oCQCoQCoQC,0,1,1786,707
27p,31,162471,1,10,O,white,OoCQCoQCQo,1,1,2059,646
27p,32,166074,0,10,O,green,CoQCQoQCoQ,0,1,1759,633
27p,33,169373,1,10,O,white,OCoQCQoQCo,1,1,1296,497
27p,34,172069,0,10,O,green,CQoCoQCoQo,0,1,685,538
27p,35,174256,1,10,O,green,OCoQCQoCoQ,1,1,607,474
27p,36,176216,0,10,O,green,QCoQCoCoQo,0,1,865,485
27p,37,178461,0,10,O,white,CQoCoQCoQC,0,1,2397,542
27p,38,182283,0,10,O,white,QCoQCoQoCQ,7,0,1694,860
27p,39,185755,1,10,O,green,OQoCQoCQCo,1,1,753,554
27p,40,187958,0,10,O,green,CQoCoQoCQo,0,1,709,425
