sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
11p,1,11429,1,10,O,green,OoQCQoCQoC,1,1,3804,4220
11p,2,20331,0,10,O,white,CQoCoQoCQo,0,1,13513,2457
11p,3,37182,0,10,O,green,QCoCoQoQCo,0,1,2859,409
11p,4,41339,0,10,O,green,CoQoCQoQCQ,0,1,6915,769
11p,5,49905,0,10,O,white,CQoCQoQCoC,9,0,156,3806
11p,6,54763,1,10,O,white,OCQoCQoQCo,1,1,2613,757
11p,7,59047,1,10,O,green,OQCoQCoQCo,1,1,145,832
11p,8,60904,1,10,O,white,OoQCQCoCQo,1,1,3871,656
11p,9,66311,1,10,O,white,OQoCoQCQCo,1,1,1142,793
11p,10,69167,1,10,O,white,OCoQoCQoQC,1,1,1510,570
11p,11,72163,1,10,O,green,OQCoCQoQoC,1,1,731,545
11p,12,74360,0,10,O,white,CoQCQoQCoC,0,1,4034,630
11p,13,79939,1,10,O,white,OQCoQoCoCQ,0,1,2345,582
11p,14,83748,1,10,O,green,OQoCoCQCoQ,1,1,1230,539
11p,15,86415,0,10,O,green,QCoCoQCoQo,0,1,1106,639
11p,16,89052,1,10,O,white,OCQoCQoCoQ,0,1,2898,610
11p,17,93468,0,10,O,green,CoQoCQoCQC,0,1,913,776
11p,18,96046,1,10,O,white,OQCoCoQoQC,1,1,1414,551
11p,19,98903,1,10,O,green,OQCoCQoCQo,1,1,823,570
11p,20,101207,1,10,O,white,OCoQoQCoQC,1,1,1605,676
11p,21,104425,0,10,O,green,CQoCQoCQoQ,0,1,1004,528
11p,22,106848,1,10,O,white,OCoQoCQoCQ,1,1,840,460
11p,23,109035,1,10,O,green,OCQoCQoQCo,1,1,555,415
11p,24,110896,0,10,O,white,QoCoQCoQCo,0,1,2682,586
11p,25,115057,0,10,O,white,CoQoQCoQCQ,4,0,1193,1994
11p,26,119163,0,10,O,white,QCoCoQoCQC,0,1,1962,525
11p,27,122556,1,10,O,green,OoCQoCQoCQ,1,1,763,512
11p,28,124719,0,10,O,white,oCQoQCoCQC,0,1,2679,480
11p,29,128800,0,10,O,green,QoCQoCQoCo,0,1,1293,545
11p,30,131541,1,10,O,green,OQCoCQoQCo,1,1,768,467
11p,31,162166,0,10,O,green,oQCQoCQoCQ,0,1,881,511
11p,32,164469,0,10,O,green,QCoQCoCQoQ,0,1,657,523
11p,33,166550,1,10,O,white,OCoQoQCQCo,0,1,2641,500
11p,34,170570,0,10,O,green,QCoCQoQCoC,0,1,1092,434
11p,35,172997,0,10,O,green,oQCoQCQoCQ,0,1,681,487
11p,36,175041,0,10,O,white,oQCoQCQCoQ,0,1,2939,514
11p,37,179431,0,10,O,white,oCQCoQoQCo,0,1,1673,683
11p,38,182710,1,10,O,green,OQCoCQoCoQ,1,1,645,458
11p,39,184722,1,10,O,green,OCQoQCoCQo,1,1,615,449
11p,40,186678,0,10,O,white,QoCoCQoCQC,0,1,2324,542
