sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
18g,8,24383,0,10,O,green,QCoQCoCQoC,0,1,780,463
18g,9,26525,0,10,O,green,CQoQCoQoCQ,0,1,1071,529
18g,10,29057,1,10,O,green,OQoCQoCQoC,1,1,1242,1153
18g,11,32339,0,10,O,green,oQCQoCQoCQ,0,1,3969,672
18g,12,37901,0,10,O,green,CQoQCoCQoC,0,1,840,764
18g,13,40426,1,10,O,green,OoQCoCQCoQ,1,1,2080,4296
18g,14,47693,0,10,O,green,oCQoCQCQoC,0,1,2184,456
18g,15,51243,1,10,O,green,OCQoQCoCoQ,1,1,951,2235
18g,16,55330,0,10,O,green,QCoCQoCoQo,0,1,762,1096
18g,17,58064,0,10,O,green,QoCQCoCoQo,0,1,2201,538
18g,18,61685,0,10,O,green,oCQoCQCoQC,0,1,987,563
18g,19,64111,1,10,O,green,OQoCoCQCQo,1,1,1546,223
18g,20,66808,0,10,O,green,QCoQCoCQoC,0,1,1329,628
18g,21,69679,1,10,O,green,OoQCQoCoQC,1,1,961,251
18g,22,71782,1,10,O,green,OCQoCQoQCo,1,1,1141,511
18g,23,74357,0,10,O,green,oCQoCQoQCQ,0,1,6503,427
18g,24,82160,0,10,O,green,oCQoCQCQoQ,0,1,793,424
18g,25,84275,1,10,O,green,OoQCQCoCoQ,1,1,787,957
18g,26,86905,0,10,O,green,QoCoQCoQCQ,0,1,1948,1037
18g,27,90793,0,10,O,green,oQCoCQCoQC,0,1,1026,749
18g,28,93482,1,10,O,green,OQCoQCoQCo,1,1,1107,281
18g,29,95813,0,10,O,green,oQCoQCQoCo,0,1,1193,1249
18g,30,99143,1,10,O,green,OCQoCoQoCQ,1,1,4724,286
18g,31,107441,1,10,O,green,OQoCQoCQoC,1,1,1139,308
18g,32,109821,1,10,O,green,OCQoQoCQoC,1,1,1479,176
18g,33,112364,1,10,O,green,OQCoQCoQoC,1,1,7431,241
18g,34,120909,0,10,O,green,QCoCQoCQoQ,0,1,3135,456
18g,35,125373,0,10,O,green,QCoCQoCQoQ,0,1,1281,501
18g,36,128056,1,10,O,green,OCoQoCQCoQ,1,1,1320,261
18g,37,130529,1,10,O,green,OQoCoQCQoC,1,1,1203,249
18g,38,132891,1,10,O,green,OoQCQoCQCo,0,1,3952,7112
18g,39,144858,1,10,O,green,OQoCQoCoQC,1,1,1042,227
